provider_id,npi,first_name,last_name,credential,full_name,primary_specialty,practice_address_line1,practice_address_line2,practice_city,practice_state,practice_zip,practice_phone,mailing_address_line1,mailing_address_line2,mailing_city,mailing_state,mailing_zip,license_number,license_state,license_expiration,accepting_new_patients,board_certified,years_in_practice,medical_school,residency_program,last_updated,taxonomy_code,house_no_p,area_p,area_type_p,house_no_m,area_m,area_type_m
PR_00023,8856855744,Linda,Shah,DO,"Linda Shah, DO",Nephrology,8042 Santa Monica Blvd,Suite 514,Los angeles,CA,90002,3474574777,8042 Santa Monica Blvd,Suite 514,Los angeles,CA,90002,A50135,CA,2025-01-25,Yes,True,21,Stanford University School of Medicine,Mayo Clinic,2025-05-27,229042654X,8042,Santa Monica,Blvd,8042,Santa Monica,Blvd
PR_00024,824008425,Maria,Patel,MD PhD,"Maria Patel, MD PhD",Anesthesiology,8596 Pico Blvd,,Fresno,CA,90002,6269709042,8596 Pico Blvd,,Fresno,CA,90002,A57301,CA,2024-01-03,Yes,True,37,Columbia University Vagelos College of Physicians and Surgeons,Mount Sinai Hospital,2024-12-31,259118721X,8596,Pico,Blvd,8596,Pico,Blvd
PR_00025,2941318698,Mary,Lopez,MD,"Mary Lopez, MD",Dermatology,7828 Fifth Ave,,Brooklyn,NY,11202,4248334697,7828 Fifth Ave,,Brooklyn,NY,11202,060NY819796,NY,2023-04-20,Unknown,False,29,UCSF School of Medicine,NewYork-Presbyterian Hospital,2024-11-05,257556566X,7828,Fifth,Ave,7828,Fifth,Ave
PR_00026,344713493,Charles,Wang,MD,"Charles Wang, MD",Anesthesiology,1626 Hollywood Blvd,,San jose,CA,90005,6264027965,2848 Ventura Blvd,Suite 561,San diego,CA,90005,A87832,CA,2025-08-20,Yes,True,10,Columbia University Vagelos College of Physicians and Surgeons,Mayo Clinic,2025-07-28,208004482X,1626,Hollywood,Blvd,2848,Ventura,Blvd
PR_00027,9065940132,William,Martin,MD PhD,"William Martin, MD PhD",Pediatrics,7680 Central Park West,,Buffalo,NY,11202,6267891339,7680 Central Park West,,Buffalo,NY,11202,060NY617781,NY,2025-06-15,Unknown,False,37,Harvard Medical School,Mayo Clinic,2025-01-05,269654147X,7680,Central Park,West,7680,Central Park,West
PR_00028,5674680718,Rajesh,Lewis,MD PhD,"Rajesh Lewis, MD PhD",Orthopedic Surgery,9591 Second Ave,,Syracuse,NY,10002,9294586296,9591 Second Ave,,Syracuse,NY,10002,060NY436653,NY,2023-08-03,Yes,False,33,Harvard Medical School,Mount Sinai Hospital,2025-02-03,207275149X,9591,Second,Ave,9591,Second,Ave
PR_00029,932480860,Christopher,Singh,MD PhD,"Christopher Singh, MD PhD",Cardiology,8168 Santa Monica Blvd,Suite 234,Los angeles,CA,90004,7184302858,8168 Santa Monica Blvd,Suite 234,Los angeles,CA,90004,A67424,CA,2025-09-19,No,True,10,UCSF School of Medicine,NewYork-Presbyterian Hospital,2024-12-16,294678746X,8168,Santa Monica,Blvd,8168,Santa Monica,Blvd
PR_00030,6584044997,Thomas,Clark,DO PhD,"Thomas Clark, DO PhD",Emergency Medicine,3994 Santa Monica Blvd,Suite 713,San francisco,CA,92001,6267013434,3994 Santa Monica Blvd,Suite 713,San francisco,CA,92001,A27892,CA,2023-05-23,No,False,23,NYU Grossman School of Medicine,UCSF Medical Center,2025-01-12,243188224X,3994,Santa Monica,Blvd,3994,Santa Monica,Blvd
PR_00031,2702895178,Li,Gonzalez,DO,"Li Gonzalez, DO",Radiology,3827 Second Ave,,New york,NY,11201,7187388486,3827 Second Ave,,New york,NY,11201,060NY950823,NY,2025-02-19,Yes,True,27,Johns Hopkins School of Medicine,Johns Hopkins Hospital,2025-01-05,235570755X,3827,Second,Ave,3827,Second,Ave
PR_00032,1343161179,Mary,Yang,DO PhD,"Mary Yang, DO PhD",Urology,5384 Ventura Blvd,,Oakland,CA,91001,6469105906,5384 Ventura Blvd,,Oakland,CA,91001,A73956,CA,2023-03-15,Yes,True,21,Harvard Medical School,NewYork-Presbyterian Hospital,2025-03-03,250310319X,5384,Ventura,Blvd,5384,Ventura,Blvd
PR_00033,9237474079,Linda,Martinez,DO,"Linda Martinez, DO",Nephrology,9273 Columbus Ave,Suite 724,Queens,NY,10003,3478939955,9273 Columbus Ave,Suite 724,Queens,NY,10003,060NY749813,NY,2024-05-08,Yes,True,29,NYU Grossman School of Medicine,NewYork-Presbyterian Hospital,2024-10-10,256949781X,9273,Columbus,Ave,9273,Columbus,Ave
PR_00034,6409097430,Ahmed,Taylor,DO PhD,"Ahmed Taylor, DO PhD",Family Medicine,3264 Rodeo Dr,Suite 685,Santa ana,CA,90002,4245604588,3264 Rodeo Dr,Suite 685,Santa ana,CA,90002,A48780,CA,2024-08-27,Unknown,True,40,Columbia University Vagelos College of Physicians and Surgeons,Mayo Clinic,2024-10-16,213041121X,3264,Rodeo,Dr,3264,Rodeo,Dr
PR_00035,2858842476,Mohammed,Williams,MD PhD,"Mohammed Williams, MD PhD",Neurology,547 Pico Blvd,Suite 402,Sacramento,CA,90003,3479646549,547 Pico Blvd,Suite 402,Sacramento,CA,90003,A64460,CA,2023-12-26,Yes,False,5,Johns Hopkins School of Medicine,Cleveland Clinic,2024-09-21,297202721X,547,Pico,Blvd,547,Pico,Blvd
PR_00036,6513709858,Priya,Sanchez,MD PhD,"Priya Sanchez, MD PhD",Otolaryngology,6465 Broadway,Suite 477,Buffalo,NY,14201,4244262035,6465 Broadway,Suite 477,Buffalo,NY,14201,060NY805000,NY,2024-06-20,Unknown,False,20,UCLA David Geffen School of Medicine,Johns Hopkins Hospital,2025-06-23,206086345X,6465,Broadway,,6465,Broadway,
PR_00037,2617964058,Michael,Martin,DO PhD,"Michael Martin, DO PhD",Otolaryngology,3847 York Ave,,Queens,NY,11202,9176548285,3847 York Ave,,Queens,NY,11202,060NY879238,NY,2025-05-08,Yes,False,7,NYU Grossman School of Medicine,UCLA Medical Center,2025-08-02,253437398X,3847,York,Ave,3847,York,Ave
PR_00038,3352904223,Thomas,Gonzalez,MD,"Thomas Gonzalez, MD",Otolaryngology,7451 Wilshire Blvd,,San jose,CA,95001,3234563858,5465 Hollywood Blvd,Suite 949,San francisco,CA,95001,A82641,CA,2024-02-29,Yes,True,9,Harvard Medical School,UCLA Medical Center,2025-05-04,279034501X,7451,Wilshire,Blvd,5465,Hollywood,Blvd
PR_00039,9178390842,Mary,Johnson,DO,"Mary Johnson, DO",Endocrinology,2077 Central Park West,Suite 165,Yonkers,NY,14201,3108581510,2077 Central Park West,Suite 165,Yonkers,NY,14201,060NY915809,NY,2025-01-11,Yes,False,26,UCLA David Geffen School of Medicine,Johns Hopkins Hospital,2024-12-25,295616885X,2077,Central Park,West,2077,Central Park,West
PR_00040,9847896119,Fatima,Lewis,MD,"Fatima Lewis, MD",Oncology,5278 Pico Blvd,Suite 739,San francisco,CA,90002,6268664522,5278 Pico Blvd,Suite 739,San francisco,CA,90002,A81874,CA,2024-10-27,No,False,15,UCLA David Geffen School of Medicine,UCLA Medical Center,2025-01-13,253516659X,5278,Pico,Blvd,5278,Pico,Blvd
PR_00041,6560494518,Linda,Miller,MD PhD,"Linda Miller, MD PhD",Cardiology,4177 Third Ave,Suite 951,Queens,NY,11203,4247194485,7076 Fifth Ave,,Rochester,NY,11203,060NY714953,NY,2024-11-06,Yes,False,15,Stanford University School of Medicine,UCLA Medical Center,2024-11-22,249333209X,4177,Third,Ave,7076,Fifth,Ave
PR_00042,4455022961,James,Moore,DO,"James Moore, DO",Orthopedic Surgery,9191 Pico Blvd,,Los angeles,CA,95001,7183451502,9191 Pico Blvd,,Los angeles,CA,95001,A45054,CA,2023-03-01,Yes,True,25,UCLA David Geffen School of Medicine,Mount Sinai Hospital,2025-03-12,221127115X,9191,Pico,Blvd,9191,Pico,Blvd
PR_00043,7679764386,Patricia,Martin,MD PhD,"Patricia Martin, MD PhD",Emergency Medicine,9300 Pico Blvd,Suite 872,San diego,CA,90001,7185538043,9300 Pico Blvd,Suite 872,San diego,CA,90001,A98338,CA,2023-06-17,Yes,False,38,UCSF School of Medicine,NewYork-Presbyterian Hospital,2025-08-10,229597483X,9300,Pico,Blvd,9300,Pico,Blvd
PR_00044,5160607157,Jennifer,Liu,MD,"Jennifer Liu, MD",Ophthalmology,4939 Park Ave,Suite 222,Queens,NY,10005,4246397626,7056 Madison Ave,,Queens,NY,10005,060NY341288,NY,2025-10-21,Unknown,False,19,Stanford University School of Medicine,UCSF Medical Center,2025-08-23,243589647X,4939,Park,Ave,7056,Madison,Ave
PR_00045,5352181886,William,Yang,DO PhD,"William Yang, DO PhD",Anesthesiology,5929 Wilshire Blvd,Suite 703,Oakland,CA,90002,9179946724,5929 Wilshire Blvd,Suite 703,Oakland,CA,90002,A20308,CA,2025-03-21,No,True,16,Stanford University School of Medicine,Mayo Clinic,2025-04-24,226477373X,5929,Wilshire,Blvd,5929,Wilshire,Blvd
PR_00046,2717744909,William,Liu,DO,"William Liu, DO",Anesthesiology,1235 Sunset Blvd,,Santa ana,CA,93001,9297192215,1235 Sunset Blvd,,Santa ana,CA,93001,A68838,CA,2024-10-23,No,False,29,Harvard Medical School,Massachusetts General Hospital,2025-02-26,238530827X,1235,Sunset,Blvd,1235,Sunset,Blvd
PR_00047,7820715180,David,Garcia,DO PhD,"David Garcia, DO PhD",Urology,9082 Central Park West,,New york,NY,11203,6263761641,9082 Central Park West,,New york,NY,11203,060NY297383,NY,2024-10-20,Yes,False,29,Yale School of Medicine,Mayo Clinic,2025-02-28,250043345X,9082,Central Park,West,9082,Central Park,West
PR_00048,9251925468,Fatima,Jackson,DO PhD,"Fatima Jackson, DO PhD",Emergency Medicine,5544 Columbus Ave,Suite 196,New york,NY,11201,6468092388,5544 Columbus Ave,Suite 196,New york,NY,11201,060NY505341,NY,2024-08-04,No,False,22,Johns Hopkins School of Medicine,Johns Hopkins Hospital,2024-10-07,289987086X,5544,Columbus,Ave,5544,Columbus,Ave
PR_00049,1418880598,Linda,Kumar,MD PhD,"Linda Kumar, MD PhD",Dermatology,5061 Madison Ave,,Bronx,NY,11201,6468117172,5061 Madison Ave,,Bronx,NY,11201,060NY337547,NY,2023-10-09,Yes,True,12,University of Michigan Medical School,Mayo Clinic,2025-01-21,205864298X,5061,Madison,Ave,5061,Madison,Ave
PR_00050,7746886233,Linda,White,DO,"Linda White, DO",Otolaryngology,4669 Santa Monica Blvd,Suite 928,San jose,CA,94001,4243415096,4669 Santa Monica Blvd,Suite 928,San jose,CA,94001,A35430,CA,2025-01-23,Yes,False,24,Yale School of Medicine,Johns Hopkins Hospital,2024-09-03,269244185X,4669,Santa Monica,Blvd,4669,Santa Monica,Blvd
PR_00051,3615305157,Li,Davis,MD PhD,"Li Davis, MD PhD",Pathology,2627 Lexington Ave,Suite 547,Syracuse,NY,14201,6463401627,3638 First Ave,,Rochester,NY,14201,060NY515712,NY,2025-10-25,No,False,9,UCSF School of Medicine,Mount Sinai Hospital,2024-10-22,200704803X,2627,Lexington,Ave,3638,First,Ave
PR_00052,6971179804,Mohammed,Garcia,MD,"Mohammed Garcia, MD",Psychiatry,2450 York Ave,Suite 395,Albany,NY,11202,6267274963,2450 York Ave,Suite 395,Albany,NY,11202,060NY227767,NY,2023-04-08,Unknown,True,19,UCLA David Geffen School of Medicine,Massachusetts General Hospital,2024-10-23,247354167X,2450,York,Ave,2450,York,Ave
PR_00053,670654054,Joseph,Wang,DO PhD,"Joseph Wang, DO PhD",Ophthalmology,1403 York Ave,,Rochester,NY,10002,7185534950,1403 York Ave,,Rochester,NY,10002,060NY924613,NY,2025-11-05,Unknown,True,38,NYU Grossman School of Medicine,Mayo Clinic,2025-08-11,247284777X,1403,York,Ave,1403,York,Ave
PR_00054,305486872,Jessica,Perez,DO,"Jessica Perez, DO",Neurology,7613 Santa Monica Blvd,Suite 894,San francisco,CA,90003,3472374131,7613 Santa Monica Blvd,Suite 894,San francisco,CA,90003,A14847,CA,2024-08-23,No,False,4,NYU Grossman School of Medicine,NewYork-Presbyterian Hospital,2025-07-01,249394697X,7613,Santa Monica,Blvd,7613,Santa Monica,Blvd
PR_00055,6169284512,Linda,Sanchez,DO PhD,"Linda Sanchez, DO PhD",Pediatrics,6335 Beverly Dr,,San francisco,CA,93001,7185355843,6335 Beverly Dr,,San francisco,CA,93001,A78062,CA,2024-06-30,No,False,39,UCLA David Geffen School of Medicine,Mayo Clinic,2024-09-14,259580374X,6335,Beverly,Dr,6335,Beverly,Dr
PR_00056,5820297026,Patricia,Lewis,MD,"Patricia Lewis, MD",Oncology,5777 Pico Blvd,,Oakland,CA,90005,7184417001,5777 Pico Blvd,,Oakland,CA,90005,A17518,CA,2023-06-03,No,False,37,Harvard Medical School,Mayo Clinic,2024-09-20,260387584X,5777,Pico,Blvd,5777,Pico,Blvd
PR_00057,7868144732,Patricia,White,DO PhD,"Patricia White, DO PhD",Orthopedic Surgery,9404 Sunset Blvd,,Sacramento,CA,92001,4244929047,9404 Sunset Blvd,,Sacramento,CA,92001,A24869,CA,2023-02-23,Yes,True,9,Stanford University School of Medicine,Mount Sinai Hospital,2025-06-06,295746886X,9404,Sunset,Blvd,9404,Sunset,Blvd
PR_00058,8313237059,Elizabeth,Garcia,MD PhD,"Elizabeth Garcia, MD PhD",Pathology,1064 Ventura Blvd,,Fresno,CA,90005,3237867044,1064 Ventura Blvd,,Fresno,CA,90005,A93584,CA,2023-12-23,No,True,40,Stanford University School of Medicine,Johns Hopkins Hospital,2025-03-28,253440127X,1064,Ventura,Blvd,1064,Ventura,Blvd
PR_00059,2892268014,Ahmed,Patel,DO PhD,"Ahmed Patel, DO PhD",Pathology,9420 Wilshire Blvd,,San francisco,CA,91001,3233565982,9420 Wilshire Blvd,,San francisco,CA,91001,A99143,CA,2025-11-25,Yes,True,21,University of Pennsylvania Perelman School of Medicine,UCLA Medical Center,2024-12-11,238124318X,9420,Wilshire,Blvd,9420,Wilshire,Blvd
PR_00060,10943964,Li,Garcia,MD PhD,"Li Garcia, MD PhD",Otolaryngology,9025 Lexington Ave,,Queens,NY,10005,4248541496,2763 Amsterdam Ave,,Queens,NY,10005,060NY855638,NY,2024-11-22,No,False,20,UCSF School of Medicine,Cleveland Clinic,2024-09-17,254504816X,9025,Lexington,Ave,2763,Amsterdam,Ave
PR_00061,5625881539,Charles,Robinson,MD,"Charles Robinson, MD",Pediatrics,2590 Santa Monica Blvd,,Oakland,CA,93001,3103255382,2590 Santa Monica Blvd,,Oakland,CA,93001,A28830,CA,2024-10-02,No,True,10,Stanford University School of Medicine,Massachusetts General Hospital,2025-04-07,251559717X,2590,Santa Monica,Blvd,2590,Santa Monica,Blvd
PR_00062,4701687330,Li,Yang,DO PhD,"Li Yang, DO PhD",Nephrology,2617 Third Ave,,Rochester,NY,10004,4245611797,2617 Third Ave,,Rochester,NY,10004,060NY639728,NY,2025-08-14,Yes,False,32,University of Michigan Medical School,Mount Sinai Hospital,2025-04-09,272033413X,2617,Third,Ave,2617,Third,Ave
PR_00063,8416878492,John,Miller,DO PhD,"John Miller, DO PhD",Pathology,4334 Central Park West,,Rochester,NY,11202,6268252946,4334 Central Park West,,Rochester,NY,11202,060NY697983,NY,2024-02-03,Yes,True,26,NYU Grossman School of Medicine,UCLA Medical Center,2024-11-21,249070856X,4334,Central Park,West,4334,Central Park,West
PR_00064,2982595268,Carlos,Martinez,DO,"Carlos Martinez, DO",Pulmonology,6577 Ventura Blvd,Suite 830,Los angeles,CA,90001,4249575902,6577 Ventura Blvd,Suite 830,Los angeles,CA,90001,A72094,CA,2025-11-29,Unknown,False,33,Yale School of Medicine,Mount Sinai Hospital,2024-09-05,275554415X,6577,Ventura,Blvd,6577,Ventura,Blvd
PR_00065,9728962307,Charles,Patel,MD,"Charles Patel, MD",Internal Medicine,1796 Second Ave,,Buffalo,NY,10001,4249172800,1796 Second Ave,,Buffalo,NY,10001,060NY787436,NY,2024-04-11,Yes,True,29,NYU Grossman School of Medicine,UCSF Medical Center,2025-06-17,255426567X,1796,Second,Ave,1796,Second,Ave
PR_00066,6527858544,Ahmed,Wilson,DO PhD,"Ahmed Wilson, DO PhD",Endocrinology,7727 Central Park West,,New york,NY,10003,4246954150,7727 Central Park West,,New york,NY,10003,060NY794395,NY,2025-09-06,Yes,False,36,Columbia University Vagelos College of Physicians and Surgeons,Cleveland Clinic,2025-04-03,238789478X,7727,Central Park,West,7727,Central Park,West
PR_00067,4041574738,Ahmed,Wilson,DO PhD,"Ahmed Wilson, DO PhD",Dermatology,5715 York Ave,Suite 792,Buffalo,NY,10005,9177515442,5715 York Ave,Suite 792,Buffalo,NY,10005,060NY513697,NY,2024-12-07,Unknown,False,9,Stanford University School of Medicine,Cleveland Clinic,2025-05-01,206813620X,5715,York,Ave,5715,York,Ave
PR_00068,4540193801,Priya,Singh,DO,"Priya Singh, DO",Neurology,861 Wilshire Blvd,,Oakland,CA,91001,6466273880,2253 Main St,,San francisco,CA,91001,A72350,CA,2025-09-04,Yes,False,32,Johns Hopkins School of Medicine,NewYork-Presbyterian Hospital,2025-08-14,201243818X,861,Wilshire,Blvd,2253,Main,St
PR_00069,4315274203,Charles,Wang,MD,"Charles Wang, MD",Pulmonology,5490 Melrose Ave,,Santa ana,CA,94001,8185455833,5490 Melrose Ave,,Santa ana,CA,94001,A27589,CA,2025-10-29,Unknown,True,12,University of Michigan Medical School,UCSF Medical Center,2025-01-27,269159799X,5490,Melrose,Ave,5490,Melrose,Ave
PR_00070,5301742689,Mary,Garcia,DO PhD,"Mary Garcia, DO PhD",Emergency Medicine,3028 Sunset Blvd,,Santa ana,CA,91001,8189886095,6285 Hollywood Blvd,,Santa ana,CA,91001,A49576,CA,2023-01-24,Unknown,True,19,NYU Grossman School of Medicine,Cleveland Clinic,2025-05-13,217927298X,3028,Sunset,Blvd,6285,Hollywood,Blvd
PR_00071,9187851916,Barbara,Martinez,DO PhD,"Barbara Martinez, DO PhD",Psychiatry,9925 Beverly Dr,,Oakland,CA,94001,2127609281,9925 Beverly Dr,,Oakland,CA,94001,A97044,CA,2024-03-23,Yes,True,11,NYU Grossman School of Medicine,Mount Sinai Hospital,2025-07-05,291307681X,9925,Beverly,Dr,9925,Beverly,Dr
PR_00072,640391064,Christopher,Zhang,DO PhD,"Christopher Zhang, DO PhD",Anesthesiology,8362 First Ave,Suite 525,New york,NY,11203,9299172044,8362 First Ave,Suite 525,New york,NY,11203,060NY160541,NY,2025-08-04,Unknown,True,5,UCSF School of Medicine,Massachusetts General Hospital,2025-04-09,254877191X,8362,First,Ave,8362,First,Ave
PR_00073,2868230046,William,Rodriguez,DO PhD,"William Rodriguez, DO PhD",Cardiology,6267 First Ave,Suite 777,Yonkers,NY,11202,3108899920,6267 First Ave,Suite 777,Yonkers,NY,11202,060NY239449,NY,2024-12-13,No,False,15,University of Pennsylvania Perelman School of Medicine,Mount Sinai Hospital,2025-03-09,220820038X,6267,First,Ave,6267,First,Ave
PR_00074,673830288,Thomas,Gonzalez,MD,"Thomas Gonzalez, MD",Psychiatry,6869 Amsterdam Ave,Suite 203,New york,NY,10004,3474396224,6869 Amsterdam Ave,Suite 203,New york,NY,10004,060NY568127,NY,2023-04-10,Unknown,False,16,Columbia University Vagelos College of Physicians and Surgeons,Mayo Clinic,2024-09-29,269961132X,6869,Amsterdam,Ave,6869,Amsterdam,Ave
