license_number,provider_name,first_name,last_name,middle_name,suffix,license_type,specialty,secondary_specialty,status,issue_date,expiration_date,renewal_date,address_line1,address_city,address_state,address_zip,county,phone,email,medical_school,medical_school_graduation_year,residency_program,board_certification,languages,public_record,disciplinary_history,malpractice_insurance,hospital_affiliations,last_updated,house_no,area,area_type
A91166,"Kumar, Maria MD PhD",Maria,Kumar,C,MD PhD,Physician and Surgeon,Otolaryngology,,Inactive,2019-07-08,2026-05-08,2025-06-07,9193 Beverly Dr,San francisco,CA,96178,Contra costa,6467302821,maria.kumar@email.com,Stanford University School of Medicine,1991,UCLA Medical Center,Dermatology,English,True,,Yes,,2025-09-02,9193,Beverly,Dr
A12832,"Lee, Sarah DO",Sarah,Lee,C,DO,Physician and Surgeon,Otolaryngology,,Active,2023-03-04,2026-04-18,2024-12-23,6589 Melrose Ave,San francisco,CA,95027,Contra costa,3109835417,sarah.lee@email.com,UCSF School of Medicine,2014,UCSF Medical Center,Cardiology,English,True,,Yes,,2025-09-02,6589,Melrose,Ave
A44329,"Yang, Joseph DO PhD",Joseph,Yang,,DO PhD,Physician and Surgeon,Ophthalmology,,Active,2019-10-11,2026-04-15,2025-05-04,239 Sunset Blvd,Los angeles,CA,90005,Riverside,2128956651,joseph.yang@email.com,Stanford University School of Medicine,2002,Stanford Hospital,Oncology,English,True,,Yes,,2025-09-02,239,Sunset,Blvd
A94547,"Zhang, James MD PhD",James,Zhang,A,MD PhD,Physician and Surgeon,Family Medicine,,Active,2019-08-31,2026-03-17,2025-04-06,1591 Ventura Blvd,San francisco,CA,93538,Sacramento,4242539235,james.zhang@email.com,UCSF School of Medicine,2019,Stanford Hospital,Family Medicine,English,True,,Yes,,2025-09-02,1591,Ventura,Blvd
A59050,"Chen, Linda DO PhD",Linda,Chen,A,DO PhD,Physician and Surgeon,Anesthesiology,,Active,2023-03-29,2026-03-07,2025-06-22,2066 Wilshire Blvd,San jose,CA,93913,Orange,9296353920,linda.chen@email.com,UCLA David Geffen School of Medicine,2020,UCLA Medical Center,Cardiology,English,True,,Yes,,2025-09-02,2066,Wilshire,Blvd
A81375,"Smith, Michael MD PhD",Michael,Smith,B,MD PhD,Physician and Surgeon,Gastroenterology,,Active,2022-08-29,2026-02-24,2024-10-13,4783 Santa Monica Blvd,San jose,CA,96720,Alameda,9177988984,michael.smith@email.com,Stanford University School of Medicine,1995,UCSF Medical Center,Pathology,English,True,,Yes,,2025-09-02,4783,Santa Monica,Blvd
A12192,"Elizabeth White, MD",Elizabeth,White,,MD,Physician and Surgeon,Emergency Medicine,,Active,2022-01-28,2025-12-20,2025-04-11,7917 Santa Monica Blvd,Los angeles,CA,90001,Contra costa,6464464144,elizabeth.white@email.com,Columbia University Vagelos College of Physicians and Surgeons,1998,UCSF Medical Center,,"English, Spanish",False,,Yes,UCSF Medical Center,2025-05-11,7917,Santa Monica,Blvd
A53150,"Mohammed Harris, MD",Mohammed,Harris,,MD,Physician and Surgeon,Gastroenterology,,Active,2022-01-07,2025-12-15,2025-06-26,9019 Wilshire Blvd,Fresno,CA,93001,Orange,3109415705,mohammed.harris@email.com,Yale School of Medicine,2004,UCLA Medical Center,,"English, Spanish, Portuguese",False,Yes - See Details,No,Cedars-Sinai Medical Center,2025-05-16,9019,Wilshire,Blvd
A57988,"Patel, Thomas DO",Thomas,Patel,A,DO,Physician and Surgeon,Pathology,,Inactive,2022-02-02,2025-12-15,2025-01-21,8666 Melrose Ave,San francisco,CA,95753,Fresno,3104045259,thomas.patel@email.com,UCSF School of Medicine,2017,Stanford Hospital,Neurology,English,True,,Yes,,2025-09-02,8666,Melrose,Ave
A59005,"David Hernandez, DO PhD",David,Hernandez,,DO PhD,Physician and Surgeon,Nephrology,,Active,2021-09-30,2025-12-12,2025-09-01,8343 Beverly Dr,Santa ana,CA,94001,Contra costa,9176624840,david.hernandez@email.com,UCLA David Geffen School of Medicine,2000,UCSF Medical Center,Nephrology,"English, Spanish",False,,Yes,UCSF Medical Center,2025-03-16,8343,Beverly,Dr
A98857,"Mohammed Rodriguez, DO PhD",Mohammed,Rodriguez,,DO PhD,Physician and Surgeon,Otolaryngology,Pulmonology,Inactive,2023-09-07,2025-12-10,2025-03-08,1851 Rodeo Dr,Santa ana,CA,90001,Santa clara,3105547305,mohammed.rodriguez@email.com,Johns Hopkins School of Medicine,2016,Mount Sinai Hospital,Otolaryngology,"English, Mandarin",False,,Unknown,Cedars-Sinai Medical Center,2025-05-31,1851,Rodeo,Dr
A35551,"Mary Liu, DO",Mary,Liu,,DO,Physician and Surgeon,Endocrinology,,Active,2023-12-22,2025-12-08,2025-01-02,3084 Pico Blvd,San diego,CA,90005,Orange,3472251472,mary.liu@email.com,NYU Grossman School of Medicine,2012,Mount Sinai Hospital,,English,False,,Unknown,Kaiser Permanente,2025-08-27,3084,Pico,Blvd
A22050,"Priya Robinson, MD PhD",Priya,Robinson,,MD PhD,Physician and Surgeon,Psychiatry,,Active,2020-12-17,2025-12-04,2025-07-25,8223 Melrose Ave,San jose,CA,92001,Alameda,4242798674,priya.robinson@email.com,UCLA David Geffen School of Medicine,1993,Mayo Clinic,,"English, Spanish, Portuguese",False,,Yes,UCLA Medical Center,2025-03-10,8223,Melrose,Ave
A70645,"LINDA GONZALEZ, DO",Linda,Gonzalez,,DO,Physician and Surgeon,Orthopedic Surgery,,Active,2023-12-04,2025-12-01,2025-03-22,4834 Hollywood Blvd,Sacramento,CA,94001,Sacramento,9176018935,,UCSF School of Medicine,1981,UCLA Medical Center,,"English, Spanish",False,,Unknown,Stanford Hospital,2025-03-23,4834,Hollywood,Blvd
A72094,"CARLOS MARTINEZ, DO",Carlos,Martinez,,DO,Physician and Surgeon,Pulmonology,,Active,2022-10-23,2025-11-29,2025-02-17,6577 Ventura Blvd,Los angeles,CA,90001,Fresno,4249575902,carlos.martinez@email.com,Yale School of Medicine,1985,Mount Sinai Hospital,,"English, Spanish, Portuguese",True,,No,UCSF Medical Center,2025-07-23,6577,Ventura,Blvd
A99143,"AHMED PATEL, DO PHD",Ahmed,Patel,,DO PhD,Physician and Surgeon,Pathology,Pediatrics,Active,2021-01-03,2025-11-25,2025-04-23,9420 Wilshire Blvd,San francisco,CA,91001,Los angeles,3233565982,ahmed.patel@email.com,University of Pennsylvania Perelman School of Medicine,1996,UCLA Medical Center,Pathology,"English, Spanish, Portuguese",True,,Yes,Stanford Hospital,2025-03-21,9420,Wilshire,Blvd
A47994,"Sanchez, Michael DO PhD",Michael,Sanchez,,DO PhD,Physician and Surgeon,Family Medicine,,Active,2021-08-31,2025-11-18,2024-12-03,4140 Beverly Dr,San diego,CA,95453,Los angeles,9296945999,michael.sanchez@email.com,Stanford University School of Medicine,2016,Stanford Hospital,Ophthalmology,English,True,,Yes,,2025-09-02,4140,Beverly,Dr
A17455,"Christopher A Brown, MD",Christopher,Brown,,MD,Physician and Surgeon,Pediatrics,,Active,2020-11-21,2025-11-06,2025-07-29,937 Main St,Santa ana,CA,94001,Orange,4248081651,christopher a.brown@email.com,University of Michigan Medical School,1993,UCLA Medical Center,Pediatrics,"English, Spanish, Portuguese",True,,Yes,UCSF Medical Center,2025-03-25,937,Main,St
A33211,"Thomas, Mary MD PhD",Mary,Thomas,,MD PhD,Physician and Surgeon,Oncology,,Active,2020-10-24,2025-11-03,2025-07-29,6754 Wilshire Blvd,San jose,CA,92648,Riverside,9297485908,mary.thomas@email.com,UCSF School of Medicine,2016,UCSF Medical Center,Internal Medicine,English,True,,Yes,,2025-09-02,6754,Wilshire,Blvd
A27589,"Charles Wang, MD",Charles,Wang,,MD,Physician and Surgeon,Pulmonology,,Active,2024-08-31,2025-10-29,2025-04-23,5490 Melrose Ave,Santa ana,CA,94001,San bernardino,8185455833,,University of Michigan Medical School,2006,UCSF Medical Center,Pulmonology,"English, Spanish",True,,No,,2025-06-20,5490,Melrose,Ave
A72642,Dr. James Rodriguez,James,Rodriguez,,MD PhD,Physician and Surgeon,Emergency Medicine,,Active,2023-05-05,2025-09-30,2024-11-14,9571 Rodeo Dr,Santa ana,CA,90002,San diego,9178754373,james.rodriguez@email.com,UCSF School of Medicine,2013,Massachusetts General Hospital,Emergency Medicine,"English, Mandarin",True,,Unknown,UCSF Medical Center,2025-06-10,9571,Rodeo,Dr
A13072,Dr. Mohammed Zhang,Mohammed,Zhang,,DO PhD,Physician and Surgeon,Radiology,,Active,2021-04-21,2025-09-29,2024-10-14,5984 Melrose Ave,San jose,CA,94001,Santa clara,3479678505,mohammed.zhang@email.com,Yale School of Medicine,1997,Massachusetts General Hospital,Radiology,"English, Spanish",False,,Unknown,,2025-07-18,5984,Melrose,Ave
A34760,"Davis, Patricia MD",Patricia,Davis,,MD,Physician and Surgeon,Dermatology,,Active,2018-03-05,2025-09-21,2025-08-29,4327 Sunset Blvd,Los angeles,CA,92156,San bernardino,6264778426,patricia.davis@email.com,UCLA David Geffen School of Medicine,2006,Stanford Hospital,Psychiatry,English,True,,Yes,,2025-09-02,4327,Sunset,Blvd
A68361,"Rajesh Thomas, DO PhD",Rajesh,Thomas,,DO PhD,Physician and Surgeon,Nephrology,,Inactive,2023-07-15,2025-09-20,2024-12-13,8825 Hollywood Blvd,San diego,CA,90005,San diego,9292082682,,UCSF School of Medicine,1992,NewYork-Presbyterian Hospital,,"English, Spanish, Portuguese",False,,Unknown,Cedars-Sinai Medical Center,2025-05-28,8825,Hollywood,Blvd
A67424,"Christopher Singh, MD PhD",Christopher,Singh,,MD PhD,Physician and Surgeon,Cardiology,,Active,2021-09-15,2025-09-19,2025-04-24,8168 Santa Monica Blvd,Los angeles,CA,90004,Contra costa,7184302858,christopher.singh@email.com,UCSF School of Medicine,2011,NewYork-Presbyterian Hospital,Cardiology,"English, Spanish, Portuguese",False,,Yes,UCLA Medical Center,2025-08-03,8168,Santa Monica,Blvd
A60556,"Thomas Garcia, MD PhD",Thomas,Garcia,,MD PhD,Physician and Surgeon,Gastroenterology,,Active,2020-12-08,2025-09-06,2025-07-31,2997 Wilshire Blvd,Oakland,CA,92001,Los angeles,4248948178,,University of Michigan Medical School,1995,Massachusetts General Hospital,,"English, Mandarin",False,,Unknown,Cedars-Sinai Medical Center,2025-03-06,2997,Wilshire,Blvd
A57167,"James Shah, MD PhD",James,Shah,,MD PhD,Physician and Surgeon,Emergency Medicine,Ophthalmology,Active,2022-08-17,2025-09-05,2024-10-28,5192 Rodeo Dr,San jose,CA,900**,San bernardino,9295696078,james.shah@email.com,University of Pennsylvania Perelman School of Medicine,1999,Johns Hopkins Hospital,,"English, Spanish",False,,Unknown,UCLA Medical Center,2025-07-14,5192,Rodeo,Dr
A72350,Dr. Priya Singh,Priya,Singh,,DO,Physician and Surgeon,Neurology,,Expired,2022-11-30,2025-09-04,2025-01-21,861 Wilshire Blvd,Oakland,CA,91001,Santa clara,6466273880,priya.singh@email.com,Johns Hopkins School of Medicine,1989,NewYork-Presbyterian Hospital,,"English, Spanish, Portuguese",False,,Yes,UCLA Medical Center,2025-04-26,861,Wilshire,Blvd
A56219,"Lopez, Jessica MD",Jessica,Lopez,A,MD,Physician and Surgeon,Nephrology,,Active,2018-05-06,2025-09-03,2025-08-29,4674 Ventura Blvd,Los angeles,CA,92567,Orange,7186556009,jessica.lopez@email.com,UCSF School of Medicine,2000,Stanford Hospital,Neurology,English,True,,Yes,,2025-09-02,4674,Ventura,Blvd
A43804,"Joseph Johnson, MD",Joseph,Johnson,C,MD,Physician and Surgeon,Cardiology,Internal Medicine,Expired,2023-11-06,2025-09-01,2025-02-05,8079 Wilshire Blvd,Sacramento,CA,95001,Sacramento,9296723219,joseph.johnson@email.com,Columbia University Vagelos College of Physicians and Surgeons,2013,UCLA Medical Center,Cardiology,English,True,,No,Kaiser Permanente,2025-08-18,8079,Wilshire,Blvd
A53512,"Karen Martin, DO",Karen,Martin,,DO,Physician and Surgeon,Pathology,,Expired,2023-07-25,2025-08-26,2025-03-29,7475 Beverly Dr,Sacramento,CA,90001,Contra costa,3235822741,karen.martin@email.com,Johns Hopkins School of Medicine,1985,UCSF Medical Center,Pathology,"English, Spanish, Portuguese",True,,No,Cedars-Sinai Medical Center,2025-04-20,7475,Beverly,Dr
A86385,"DAVID SHARMA, DO",David,Sharma,,DO,Physician and Surgeon,Emergency Medicine,,Expired,2021-11-22,2025-08-22,2024-10-18,8193 Melrose Ave,Oakland,CA,95001,Orange,9177606400,david.sharma@email.com,UCSF School of Medicine,2002,Johns Hopkins Hospital,Emergency Medicine,English,False,Yes - See Details,Unknown,Kaiser Permanente,2025-04-20,8193,Melrose,Ave
A14700,"Linda Hernandez, MD PhD",Linda,Hernandez,,MD PhD,Physician and Surgeon,Emergency Medicine,,Expired,2023-08-21,2025-08-21,2025-06-10,8050 Sunset Blvd,Santa ana,CA,90001,Sacramento,3106689077,linda.hernandez@email.com,NYU Grossman School of Medicine,2009,Johns Hopkins Hospital,Emergency Medicine,"English, Spanish",True,,No,Cedars-Sinai Medical Center,2025-03-09,8050,Sunset,Blvd
A87832,"Wang, Charles MD",Charles,Wang,,MD,Physician and Surgeon,Anesthesiology,,Expired,2023-04-27,2025-08-20,2024-10-10,1626 Hollywood Blvd,San jose,CA,90005,Fresno,6264027965,charles.wang@email.com,Columbia University Vagelos College of Physicians and Surgeons,2007,Mayo Clinic,Anesthesiology,"English, Spanish, Portuguese",True,,Yes,Stanford Hospital,2025-08-28,1626,Hollywood,Blvd
A52425,"Williams, Mohammed DO PhD",Mohammed,Williams,,DO PhD,Physician and Surgeon,Pulmonology,,Expired,2024-06-11,2025-08-17,2024-10-18,9160 Melrose Ave,Santa ana,CA,90004,Santa clara,3235758439,,Harvard Medical School,2009,UCLA Medical Center,,"English, Spanish, Portuguese",False,,Unknown,Cedars-Sinai Medical Center,2025-04-26,9160,Melrose,Ave
A50965,"Anderson, James DO",James,Anderson,,DO,Physician and Surgeon,Nephrology,,Expired,2022-10-03,2025-07-04,2025-04-08,5457 Beverly Dr,Los angeles,CA,90027,Riverside,2133304028,james.anderson@email.com,UCLA David Geffen School of Medicine,2019,UCLA Medical Center,Nephrology,English,True,,Yes,,2025-09-02,5457,Beverly,Dr
A50683,"Sanchez, Ana MD",Ana,Sanchez,A,MD,Physician and Surgeon,Neurology,,Active,2019-03-26,2025-07-03,2024-11-06,9906 Pico Blvd,San jose,CA,92146,Santa clara,2128241475,ana.sanchez@email.com,Stanford University School of Medicine,1991,UCLA Medical Center,Internal Medicine,English,True,,Yes,,2025-09-02,9906,Pico,Blvd
A74175,"Ana Ramirez, MD PhD",Ana,Ramirez,,MD PhD,Physician and Surgeon,Oncology,Pathology,Expired,2021-02-02,2025-07-01,2024-10-06,9888 Sunset Blvd,Sacramento,CA,90002,San diego,6466447979,ana.ramirez@email.com,NYU Grossman School of Medicine,1985,Mount Sinai Hospital,Oncology,English,False,,No,Cedars-Sinai Medical Center,2025-08-05,9888,Sunset,Blvd
A25720,"Charles Wang, DO PhD",Charles,Wang,,DO PhD,Physician and Surgeon,Gastroenterology,,Expired,2022-07-19,2025-06-29,2025-02-18,8535 Sunset Blvd,Santa ana,CA,90005,Santa clara,8182766359,charles.wang@email.com,UCSF School of Medicine,2000,Johns Hopkins Hospital,,"English, Spanish",False,,Yes,Stanford Hospital,2025-07-14,8535,Sunset,Blvd
A69285,"Linda Sharma, DO",Linda,Sharma,,DO,Physician and Surgeon,Oncology,,Expired,2023-05-11,2025-06-28,2024-11-14,2049 Beverly Dr,San jose,CA,92001,Los angeles,9179294128,linda.sharma@email.com,NYU Grossman School of Medicine,1977,Mount Sinai Hospital,Oncology,"English, Spanish, Portuguese",False,,No,Cedars-Sinai Medical Center,2025-07-22,2049,Beverly,Dr
A74006,"Perez, Michael DO",Michael,Perez,,DO,Physician and Surgeon,Psychiatry,,Inactive,2021-06-26,2025-06-21,2024-12-05,3568 Rodeo Dr,San diego,CA,96762,Contra costa,4243867997,michael.perez@email.com,UCLA David Geffen School of Medicine,2006,UCSF Medical Center,Endocrinology,English,True,,Yes,,2025-09-02,3568,Rodeo,Dr
A50288,"Wang, Li DO PhD",Li,Wang,A,DO PhD,Physician and Surgeon,Radiology,,Inactive,2019-10-03,2025-06-18,2025-05-01,6990 Main St,Los angeles,CA,94114,San diego,2124906369,li.wang@email.com,UCLA David Geffen School of Medicine,2018,UCLA Medical Center,Anesthesiology,English,True,,Yes,,2025-09-02,6990,Main,St
A73343,"Joseph Anderson, DO PhD",Joseph,Anderson,,DO PhD,Physician and Surgeon,Gastroenterology,Emergency Medicine,Expired,2021-02-03,2025-06-17,2025-05-23,3539 Sunset Blvd,Los angeles,CA,90005,Alameda,6267897342,joseph.anderson@email.com,Columbia University Vagelos College of Physicians and Surgeons,1993,UCSF Medical Center,,"English, Spanish",False,,Unknown,Stanford Hospital,2025-03-25,3539,Sunset,Blvd
A31233,"Davis, Rajesh DO PhD",Rajesh,Davis,C,DO PhD,Physician and Surgeon,Internal Medicine,,Active,2023-04-29,2025-06-09,2024-10-14,3344 Rodeo Dr,San francisco,CA,92482,San bernardino,6468151708,rajesh.davis@email.com,UCSF School of Medicine,2005,UCSF Medical Center,Radiology,English,True,,Yes,,2025-09-02,3344,Rodeo,Dr
A73941,"Linda Kumar, DO PhD",Linda,Kumar,,DO PhD,Physician and Surgeon,Pulmonology,,Expired,2024-05-25,2025-06-06,2024-08-24,4098 Sunset Blvd,San jose,CA,90005,San bernardino,9177806782,,Johns Hopkins School of Medicine,1988,Massachusetts General Hospital,Pulmonology,"English, Mandarin",True,,Unknown,Cedars-Sinai Medical Center,2025-07-08,4098,Sunset,Blvd
A57227,"David Garcia, DO",David,Garcia,,DO,Physician and Surgeon,Internal Medicine,,Expired,2023-08-16,2025-06-01,2024-09-14,2308 Sunset Blvd,Sacramento,CA,93001,Los angeles,7182153336,,Stanford University School of Medicine,1985,Mount Sinai Hospital,Internal Medicine,"English, Mandarin",False,Yes - See Details,No,Kaiser Permanente,2025-03-15,2308,Sunset,Blvd
A21003,"Priya Sanchez, DO",Priya,Sanchez,D,DO,Physician and Surgeon,Dermatology,,Expired,2023-06-10,2025-05-27,2025-05-08,2092 Pico Blvd,Los angeles,CA,92001,Fresno,9299797211,priya.sanchez@email.com,Stanford University School of Medicine,2000,Mount Sinai Hospital,,"English, Spanish, Portuguese",False,,Unknown,Stanford Hospital,2025-03-23,2092,Pico,Blvd
A89988,"Wei Thomas, MD PhD",Wei,Thomas,,MD PhD,Physician and Surgeon,Orthopedic Surgery,,Expired,2021-05-22,2025-05-26,2024-09-17,529 Santa Monica Blvd,Fresno,CA,910**,Fresno,4247513758,,University of Michigan Medical School,2002,NewYork-Presbyterian Hospital,,"English, Spanish, Portuguese",False,,No,UCLA Medical Center,2025-07-02,529,Santa Monica,Blvd
A99837,"David Miller, DO",David,Miller,,DO,Physician and Surgeon,Cardiology,,Expired,2023-12-12,2025-05-18,2025-05-07,8815 Ventura Blvd,Los angeles,CA,90002,Fresno,7182751889,david.miller@email.com,Stanford University School of Medicine,1985,Cleveland Clinic,,English,True,,Unknown,UCSF Medical Center,2025-05-09,8815,Ventura,Blvd
A21395,"Rajesh G Davis, MD",Rajesh,Davis,,MD,Physician and Surgeon,Internal Medicine,,Expired,2022-02-17,2025-05-14,2025-03-15,4013 Hollywood Blvd,San francisco,CA,90002,Fresno,8188659928,rajesh g.davis@email.com,University of Michigan Medical School,1991,NewYork-Presbyterian Hospital,Internal Medicine,"English, Spanish",False,,Yes,Kaiser Permanente,2025-07-28,4013,Hollywood,Blvd
A14051,"Ana Kumar, DO PhD",Ana,Kumar,,DO PhD,Physician and Surgeon,Pediatrics,Otolaryngology,Expired,2022-02-02,2025-05-04,2025-03-09,2577 Hollywood Blvd,Fresno,CA,93001,Contra costa,6265495972,ana.kumar@email.com,UCSF School of Medicine,1997,Mount Sinai Hospital,,English,False,,No,UCLA Medical Center,2025-03-14,2577,Hollywood,Blvd
A78807,"Wilson, Maria DO PhD",Maria,Wilson,,DO PhD,Physician and Surgeon,Anesthesiology,,Expired,2021-10-19,2025-05-03,2024-09-11,106 Sunset Blvd,Santa ana,CA,90001,Riverside,3233128383,maria.wilson@email.com,University of Pennsylvania Perelman School of Medicine,2009,Massachusetts General Hospital,Anesthesiology,English,True,,Unknown,UCSF Medical Center,2025-07-22,106,Sunset,Blvd
A99860,"Chen, Thomas MD PhD",Thomas,Chen,B,MD PhD,Physician and Surgeon,Oncology,,Expired,2020-07-31,2025-05-02,2024-12-16,3171 Pico Blvd,San diego,CA,92367,Sacramento,3238456625,thomas.chen@email.com,UCLA David Geffen School of Medicine,2002,Stanford Hospital,Otolaryngology,English,True,,Yes,,2025-09-02,3171,Pico,Blvd
A58674,"Joseph Brown, MD PhD",Joseph,Brown,,MD PhD,Physician and Surgeon,Pediatrics,,Expired,2022-05-18,2025-05-01,2024-12-08,265 Beverly Dr,Los angeles,CA,95001,Fresno,6265838711,,NYU Grossman School of Medicine,2008,Massachusetts General Hospital,Pediatrics,"English, Spanish, Portuguese",True,,Yes,UCLA Medical Center,2025-05-18,265,Beverly,Dr
A79438,"Zhang, Priya MD PhD",Priya,Zhang,D,MD PhD,Physician and Surgeon,Orthopedic Surgery,Otolaryngology,Expired,2023-04-25,2025-04-27,2024-05-10,9988 Main St,Sacramento,CA,95001,Santa clara,7182967611,priya.zhang@email.com,UCLA David Geffen School of Medicine,1990,Mount Sinai Hospital,,"English, Mandarin",False,,Unknown,,2025-07-27,9988,Main,St
A67602,"Wei Zhang, DO PhD",Wei,Zhang,,DO PhD,Physician and Surgeon,Emergency Medicine,,Expired,2023-11-19,2025-04-16,2024-11-07,3866 Rodeo Dr,San jose,CA,90003,San bernardino,3108995036,wei.zhang@email.com,UCSF School of Medicine,1994,UCLA Medical Center,Emergency Medicine,"English, Spanish",False,,Unknown,UCSF Medical Center,2025-07-17,3866,Rodeo,Dr
A20308,"Yang, William DO PhD",William,Yang,B,DO PhD,Physician and Surgeon,Anesthesiology,,Expired,2021-10-11,2025-03-21,2025-01-03,5929 Wilshire Blvd,Oakland,CA,90002,Contra costa,9179946724,william.yang@email.com,Stanford University School of Medicine,2001,Mayo Clinic,Anesthesiology,English,False,,Yes,Cedars-Sinai Medical Center,2025-06-18,5929,Wilshire,Blvd
A84852,"Elizabeth Thomas, DO",Elizabeth,Thomas,D,DO,Physician and Surgeon,Gastroenterology,,Expired,2023-02-28,2025-03-19,2024-05-27,4599 Melrose Ave,San diego,CA,90004,Santa clara,4248766259,elizabeth.thomas@email.com,UCSF School of Medicine,1992,Massachusetts General Hospital,Gastroenterology,"English, Spanish",True,,Unknown,Cedars-Sinai Medical Center,2025-06-04,4599,Melrose,Ave
A40921,"Smith, Karen MD PhD",Karen,Smith,A,MD PhD,Physician and Surgeon,Anesthesiology,,Active,2018-09-29,2025-03-16,2025-04-23,8175 Melrose Ave,San francisco,CA,95609,Santa clara,9298114650,karen.smith@email.com,Stanford University School of Medicine,2003,UCSF Medical Center,Orthopedic Surgery,English,True,,Yes,,2025-09-02,8175,Melrose,Ave
A59914,"Sharma, Jessica MD",Jessica,Sharma,B,MD,Physician and Surgeon,Otolaryngology,,Active,2017-09-08,2025-03-14,2025-04-20,4752 Beverly Dr,San jose,CA,90081,Santa clara,6463211514,jessica.sharma@email.com,UCLA David Geffen School of Medicine,2002,UCLA Medical Center,Pulmonology,English,True,,Yes,,2025-09-02,4752,Beverly,Dr
A46058,"Sharma, Wei MD",Wei,Sharma,B,MD,Physician and Surgeon,Otolaryngology,,Active,2023-07-19,2025-03-09,2024-10-21,9386 Sunset Blvd,Los angeles,CA,93034,Santa clara,6467737966,wei.sharma@email.com,UCSF School of Medicine,2008,UCLA Medical Center,Psychiatry,English,True,,Yes,,2025-09-02,9386,Sunset,Blvd
