provider_id,npi,first_name,last_name,credential,full_name,primary_specialty,practice_address_line1,practice_address_line2,practice_city,practice_state,practice_zip,practice_phone,mailing_address_line1,mailing_address_line2,mailing_city,mailing_state,mailing_zip,license_number,license_state,license_expiration,accepting_new_patients,board_certified,years_in_practice,medical_school,residency_program,last_updated,taxonomy_code,house_no_p,area_p,area_type_p,house_no_m,area_m,area_type_m,valid_npi,duplicate_of,duplicate_reason,moved_at
PR_00511,3469967336,Priya,Lee,DO,"Priya D Lee, DO",Radiology,2145 Columbus Ave,,Buffalo,NY,11203,9292705002,2145 Columbus Ave,,Buffalo,NY,11203,060NY176066,NY,2023-01-20,No,False,11,UCSF School of Medicine,NewYork-Presbyterian Hospital,2024-10-24,287775215X,2145,Columbus,Ave,2145,Columbus,Ave,1,PR_00010,license|name_edu|name_phone,2025-09-07T17:59:14.251327
PR_00512,1677269607,Susan,Smith,MD PhD,"Susan R Smith, MD PhD",Anesthesiology,1698 Sunset Blvd,,Fresno,CA,90002,7188497939,1698 Sunset Blvd,,Fresno,CA,90002,A30374,CA,2024-07-11,No,True,1,NYU Grossman School of Medicine,Mayo Clinic,2024-10-11,235159040X,1698,Sunset,Blvd,1698,Sunset,Blvd,1,PR_00011,license|name_edu|name_phone,2025-09-07T17:59:14.255343
PR_00513,4376855079,William,Lewis,DO PhD,"William Q Lewis, DO PhD",Dermatology,1833 Fifth Ave,Suite 478,Queens,NY,14201,3236163532,1833 Fifth Ave,Suite 478,Queens,NY,14201,060NY255287,NY,2025-05-30,Yes,True,12,UCLA David Geffen School of Medicine,Massachusetts General Hospital,2025-06-03,298860009X,1833,Fifth,Ave,1833,Fifth,Ave,1,PR_00012,license|name_edu|name_phone,2025-09-07T17:59:14.260330
PR_00514,9679352195,Fatima,Perez,DO PhD,"Fatima W Perez, DO PhD",Family Medicine,4066 Melrose Ave,,San francisco,CA,90002,6267496425,7712 Hollywood Blvd,,San jose,CA,90002,A39831,CA,2024-04-01,Yes,True,17,Johns Hopkins School of Medicine,NewYork-Presbyterian Hospital,2025-08-14,214549543X,4066,Melrose,Ave,7712,Hollywood,Blvd,1,PR_00013,license|name_edu|name_phone,2025-09-07T17:59:14.263433
PR_00515,6263355642,Karen,Ramirez,MD PhD,"Karen H Ramirez, MD PhD",Pathology,5140 Rodeo Dr,,San diego,CA,92001,6266186344,728 Rodeo Dr,,Los angeles,CA,92001,A80575,CA,2024-02-08,No,False,36,Johns Hopkins School of Medicine,Cleveland Clinic,2025-01-30,289245317X,5140,Rodeo,Dr,728,Rodeo,Dr,1,PR_00014,license|name_edu|name_phone,2025-09-07T17:59:14.265428
PR_00516,4369709312,Jennifer,Lopez,MD PhD,"Jennifer O Lopez, MD PhD",Pulmonology,7 Lexington Ave,,Buffalo,NY,10004,6268486491,7 Lexington Ave,,Buffalo,NY,10004,060NY786508,NY,2024-10-21,Yes,True,20,University of Pennsylvania Perelman School of Medicine,Cleveland Clinic,2025-06-19,203278320X,7,Lexington,Ave,7,Lexington,Ave,1,PR_00015,license|name_edu|name_phone,2025-09-07T17:59:14.268425
PR_00517,695560768,Michael,Thomas,DO PhD,"Michael X Thomas, DO PhD",Dermatology,1194 Santa Monica Blvd,Suite 813,Oakland,CA,95001,9173248478,1194 Santa Monica Blvd,Suite 813,Oakland,CA,95001,A62383,CA,2024-05-14,Yes,False,34,Yale School of Medicine,UCLA Medical Center,2025-01-19,282228802X,1194,Santa Monica,Blvd,1194,Santa Monica,Blvd,1,PR_00016,license|name_edu|name_phone,2025-09-07T17:59:14.271408
PR_00518,7616453455,Mike,Thomas,DO PhD,"Mike Thomas, DO PhD",Dermatology,1194 Santa Monica Blvd,Suite 813,Oakland,CA,95001,9173248478,1194 Santa Monica Blvd,Suite 813,Oakland,CA,95001,A62383,CA,2024-05-14,Yes,False,34,Yale School of Medicine,UCLA Medical Center,2025-01-19,282228802X,1194,Santa Monica,Blvd,1194,Santa Monica,Blvd,1,PR_00016,license,2025-09-07T17:59:14.272424
PR_00519,4722398988,Wei,Kumar,DO PhD,"Wei Z Kumar, DO PhD",Endocrinology,8977 Santa Monica Blvd,,San francisco,CA,93001,9297532320,8977 Santa Monica Blvd,,San francisco,CA,93001,A93579,CA,2024-07-21,Yes,True,15,UCLA David Geffen School of Medicine,Mayo Clinic,2024-09-06,228716269X,8977,Santa Monica,Blvd,8977,Santa Monica,Blvd,1,PR_00017,license|name_edu|name_phone,2025-09-07T17:59:14.276424
PR_00520,3065031218,David,Clark,DO PhD,"David T Clark, DO PhD",Otolaryngology,7634 Second Ave,,New york,NY,10004,4244258999,7634 Second Ave,,New york,NY,10004,060NY907189,NY,2023-02-10,Yes,False,28,UCSF School of Medicine,Massachusetts General Hospital,2025-02-15,245114543X,7634,Second,Ave,7634,Second,Ave,1,PR_00018,license|name_edu|name_phone,2025-09-07T17:59:14.279919
PR_00521,8041847245,Dave,Clark,DO PhD,"Dave Clark, DO PhD",Otolaryngology,7634 Second Ave,,New york,NY,10004,4244258999,7634 Second Ave,,New york,NY,10004,060NY907189,NY,2023-02-10,Yes,False,28,UCSF School of Medicine,Massachusetts General Hospital,2025-02-15,245114543X,7634,Second,Ave,7634,Second,Ave,1,PR_00018,license,2025-09-07T17:59:14.281184
PR_00522,2642364285,Priya,Sanchez,DO,"Priya C Sanchez, DO",Dermatology,2092 Pico Blvd,,Los angeles,CA,92001,9299797211,2092 Pico Blvd,,Los angeles,CA,92001,A21003,CA,2025-05-27,No,False,17,Stanford University School of Medicine,Mount Sinai Hospital,2025-08-24,272399599X,2092,Pico,Blvd,2092,Pico,Blvd,1,PR_00019,license|name_edu|name_phone,2025-09-07T17:59:14.282699
PR_00523,3190924875,Michael,Thompson,DO,"Michael N Thompson, DO",Nephrology,660 Main St,,San jose,CA,90004,8189352876,660 Main St,,San jose,CA,90004,A41266,CA,2023-09-16,Yes,False,7,University of Michigan Medical School,Massachusetts General Hospital,2025-03-27,277282128X,660,Main,St,660,Main,St,1,PR_00020,license|name_edu|name_phone,2025-09-07T17:59:14.286715
PR_00524,2303911148,Mike,Thompson,DO,"Mike Thompson, DO",Nephrology,660 Main St,,San jose,CA,90004,8189352876,660 Main St,,San jose,CA,90004,A41266,CA,2023-09-16,Yes,False,7,University of Michigan Medical School,Massachusetts General Hospital,2025-03-27,277282128X,660,Main,St,660,Main,St,1,PR_00020,license,2025-09-07T17:59:14.287715
PR_00102,6413836704,Mohammed,Sharma,DO,"Mohammed Sharma, DO",Family Medicine,6719 Broadway,,Bronx,NY,14201,6469285584,6719 Broadway,,Bronx,NY,14201,060NY110060,NY,2024-11-17,Yes,True,15,Yale School of Medicine,UCSF Medical Center,2024-09-09,249995026X,6719,Broadway,,6719,Broadway,,1,PR_00181,name_edu,2025-09-07T17:59:14.333562
PR_00128,2120216978,Thomas,Garcia,MD PhD,"Thomas Garcia, MD PhD",Gastroenterology,2997 Wilshire Blvd,,Oakland,CA,92001,4248948178,2997 Wilshire Blvd,,Oakland,CA,92001,A60556,CA,2025-09-06,Yes,False,23,University of Michigan Medical School,Massachusetts General Hospital,2024-09-17,297613685X,2997,Wilshire,Blvd,2997,Wilshire,Blvd,1,PR_00173,name_edu,2025-09-07T17:59:14.349577
PR_00363,8038287239,Elizabeth,Brown,MD,"Elizabeth Brown, MD",Otolaryngology,1754 Third Ave,,Brooklyn,NY,10005,6268553535,1754 Third Ave,,Brooklyn,NY,10005,060NY163821,NY,2023-09-06,No,False,1,UCSF School of Medicine,Cleveland Clinic,2025-07-06,209011655X,1754,Third,Ave,1754,Third,Ave,1,PR_00424,license,2025-09-07T17:59:14.464338
