provider_id,npi,first_name,last_name,credential,full_name,primary_specialty,practice_address_line1,practice_address_line2,practice_city,practice_state,practice_zip,practice_phone,mailing_address_line1,mailing_address_line2,mailing_city,mailing_state,mailing_zip,license_number,license_state,license_expiration,accepting_new_patients,board_certified,years_in_practice,medical_school,residency_program,last_updated,taxonomy_code,house_no_p,area_p,area_type_p,house_no_m,area_m,area_type_m,valid_npi,license_number_gt,provider_name_gt,first_name_gt,last_name_gt,middle_name_gt,suffix_gt,license_type_gt,specialty_gt,secondary_specialty_gt,status_gt,issue_date_gt,expiration_date_gt,renewal_date_gt,address_line1_gt,address_city_gt,address_state_gt,address_zip_gt,county_gt,phone_gt,email_gt,medical_school_gt,medical_school_graduation_year_gt,residency_program_gt,board_certification_gt,languages_gt,public_record_gt,disciplinary_history_gt,malpractice_insurance_gt,hospital_affiliations_gt,last_updated_gt,house_no_gt,area_gt,area_type_gt
PR_00020,1937452997,Michael,Thompson,DO,"Michael Thompson, DO",Nephrology,660 Main St,,San jose,CA,90004,8189352876,660 Main St,,San jose,CA,90004,A41266,CA,2023-09-16,Yes,False,7,University of Michigan Medical School,Massachusetts General Hospital,2025-03-27,277282128X,660,Main,St,660,Main,St,1,A41266,"Thompson, Michael DO",Michael,Thompson,,DO,Physician and Surgeon,Nephrology,,Expired,2021-08-06,2023-09-16,2023-07-17,660 Main St,San jose,CA,90004,Alameda,8189352876,michael.thompson@email.com,University of Michigan Medical School,2010,Massachusetts General Hospital,,"English, Mandarin",True,,No,Cedars-Sinai Medical Center,2025-07-26,660,Main,St
PR_00021,586518502,Priya,Harris,DO PhD,"Priya Harris, DO PhD",Otolaryngology,3250 Wilshire Blvd,,San jose,CA,90002,2137012729,3250 Wilshire Blvd,,San jose,CA,90002,A99687,CA,2023-09-05,No,False,30,Johns Hopkins School of Medicine,UCSF Medical Center,2025-06-04,298488338X,3250,Wilshire,Blvd,3250,Wilshire,Blvd,1,A99687,Dr. Priya Harris,Priya,Harris,,DO PhD,Physician and Surgeon,Otolaryngology,,Expired,2022-05-28,2023-09-05,2023-05-01,3250 Wilshire Blvd,San jose,CA,90002,Riverside,2137012729,,Johns Hopkins School of Medicine,1989,UCSF Medical Center,,"English, Spanish, Portuguese",True,,Unknown,Kaiser Permanente,2025-03-15,3250,Wilshire,Blvd
PR_00023,8856855744,Linda,Shah,DO,"Linda Shah, DO",Nephrology,8042 Santa Monica Blvd,Suite 514,Los angeles,CA,90002,3474574777,8042 Santa Monica Blvd,Suite 514,Los angeles,CA,90002,A50135,CA,2025-01-25,Yes,True,21,Stanford University School of Medicine,Mayo Clinic,2025-05-27,229042654X,8042,Santa Monica,Blvd,8042,Santa Monica,Blvd,1,A50135,"Linda Shah, DO",Linda,Shah,,DO,Physician and Surgeon,Nephrology,,Expired,2022-06-13,2025-01-25,2024-03-19,8042 Santa Monica Blvd,Los angeles,CA,90002,Sacramento,3474574777,,Stanford University School of Medicine,2000,Mayo Clinic,Nephrology,"English, Mandarin",True,,Unknown,UCLA Medical Center,2025-08-27,8042,Santa Monica,Blvd
PR_00024,824008425,Maria,Patel,MD PhD,"Maria Patel, MD PhD",Anesthesiology,8596 Pico Blvd,,Fresno,CA,90002,6269709042,8596 Pico Blvd,,Fresno,CA,90002,A57301,CA,2024-01-03,Yes,True,37,Columbia University Vagelos College of Physicians and Surgeons,Mount Sinai Hospital,2024-12-31,259118721X,8596,Pico,Blvd,8596,Pico,Blvd,1,A57301,"Patel, Maria MD PhD",Maria,Patel,,MD PhD,Physician and Surgeon,Anesthesiology,,Expired,2020-02-13,2024-01-03,2023-10-08,8596 Pico Blvd,Fresno,CA,90002,San diego,6269709042,maria.patel@email.com,Columbia University Vagelos College of Physicians and Surgeons,1984,Mount Sinai Hospital,Anesthesiology,"English, Spanish",True,,Unknown,,2025-06-28,8596,Pico,Blvd
PR_00026,344713493,Charles,Wang,MD,"Charles Wang, MD",Anesthesiology,1626 Hollywood Blvd,,San jose,CA,90005,6264027965,2848 Ventura Blvd,Suite 561,San diego,CA,90005,A87832,CA,2025-08-20,Yes,True,10,Columbia University Vagelos College of Physicians and Surgeons,Mayo Clinic,2025-07-28,208004482X,1626,Hollywood,Blvd,2848,Ventura,Blvd,1,A87832,"Wang, Charles MD",Charles,Wang,,MD,Physician and Surgeon,Anesthesiology,,Expired,2023-04-27,2025-08-20,2024-10-10,1626 Hollywood Blvd,San jose,CA,90005,Fresno,6264027965,charles.wang@email.com,Columbia University Vagelos College of Physicians and Surgeons,2007,Mayo Clinic,Anesthesiology,"English, Spanish, Portuguese",True,,Yes,Stanford Hospital,2025-08-28,1626,Hollywood,Blvd
PR_00029,932480860,Christopher,Singh,MD PhD,"Christopher Singh, MD PhD",Cardiology,8168 Santa Monica Blvd,Suite 234,Los angeles,CA,90004,7184302858,8168 Santa Monica Blvd,Suite 234,Los angeles,CA,90004,A67424,CA,2025-09-19,No,True,10,UCSF School of Medicine,NewYork-Presbyterian Hospital,2024-12-16,294678746X,8168,Santa Monica,Blvd,8168,Santa Monica,Blvd,1,A67424,"Christopher Singh, MD PhD",Christopher,Singh,,MD PhD,Physician and Surgeon,Cardiology,,Active,2021-09-15,2025-09-19,2025-04-24,8168 Santa Monica Blvd,Los angeles,CA,90004,Contra costa,7184302858,christopher.singh@email.com,UCSF School of Medicine,2011,NewYork-Presbyterian Hospital,Cardiology,"English, Spanish, Portuguese",False,,Yes,UCLA Medical Center,2025-08-03,8168,Santa Monica,Blvd
PR_00030,6584044997,Thomas,Clark,DO PhD,"Thomas Clark, DO PhD",Emergency Medicine,3994 Santa Monica Blvd,Suite 713,San francisco,CA,92001,6267013434,3994 Santa Monica Blvd,Suite 713,San francisco,CA,92001,A27892,CA,2023-05-23,No,False,23,NYU Grossman School of Medicine,UCSF Medical Center,2025-01-12,243188224X,3994,Santa Monica,Blvd,3994,Santa Monica,Blvd,1,A27892,"Thomas Clark, DO PhD",Thomas,Clark,,DO PhD,Physician and Surgeon,Emergency Medicine,,Expired,2020-05-24,2023-05-23,2023-01-24,3994 Santa Monica Blvd,San francisco,CA,92001,Fresno,6267013434,,NYU Grossman School of Medicine,1994,UCSF Medical Center,,"English, Mandarin",False,,Unknown,UCLA Medical Center,2025-08-18,3994,Santa Monica,Blvd
PR_00032,1343161179,Mary,Yang,DO PhD,"Mary Yang, DO PhD",Urology,5384 Ventura Blvd,,Oakland,CA,91001,6469105906,5384 Ventura Blvd,,Oakland,CA,91001,A73956,CA,2023-03-15,Yes,True,21,Harvard Medical School,NewYork-Presbyterian Hospital,2025-03-03,250310319X,5384,Ventura,Blvd,5384,Ventura,Blvd,1,A73956,"Mary Yang, DO PhD",Mary,Yang,,DO PhD,Physician and Surgeon,Urology,,Expired,2020-09-30,2023-03-15,2022-10-03,5384 Ventura Blvd,Oakland,CA,91001,Sacramento,6469105906,,Harvard Medical School,1999,NewYork-Presbyterian Hospital,Urology,"English, Spanish",False,,No,Kaiser Permanente,2025-05-22,5384,Ventura,Blvd
PR_00034,6409097430,Ahmed,Taylor,DO PhD,"Ahmed Taylor, DO PhD",Family Medicine,3264 Rodeo Dr,Suite 685,Santa ana,CA,90002,4245604588,3264 Rodeo Dr,Suite 685,Santa ana,CA,90002,A48780,CA,2024-08-27,Unknown,True,40,Columbia University Vagelos College of Physicians and Surgeons,Mayo Clinic,2024-10-16,213041121X,3264,Rodeo,Dr,3264,Rodeo,Dr,1,A48780,"Taylor, Ahmed DO PhD",Ahmed,Taylor,,DO PhD,Physician and Surgeon,Family Medicine,,Expired,2022-10-09,2024-08-27,2023-10-30,3264 Rodeo Dr,Santa ana,CA,90002,San bernardino,4245604588,,Columbia University Vagelos College of Physicians and Surgeons,1977,Mayo Clinic,Family Medicine,"English, Spanish, Portuguese",True,,No,Kaiser Permanente,2025-03-15,3264,Rodeo,Dr
PR_00035,2858842476,Mohammed,Williams,MD PhD,"Mohammed Williams, MD PhD",Neurology,547 Pico Blvd,Suite 402,Sacramento,CA,90003,3479646549,547 Pico Blvd,Suite 402,Sacramento,CA,90003,A64460,CA,2023-12-26,Yes,False,5,Johns Hopkins School of Medicine,Cleveland Clinic,2024-09-21,297202721X,547,Pico,Blvd,547,Pico,Blvd,1,A64460,"Mohammed Williams, MD PhD",Mohammed,Williams,,MD PhD,Physician and Surgeon,Neurology,Internal Medicine,Expired,2020-04-23,2023-12-26,2023-02-28,547 Pico Blvd,Sacramento,CA,90003,Santa clara,3479646549,mohammed.williams@email.com,Johns Hopkins School of Medicine,2016,Cleveland Clinic,,"English, Mandarin",True,,No,Cedars-Sinai Medical Center,2025-06-04,547,Pico,Blvd
PR_00038,3352904223,Thomas,Gonzalez,MD,"Thomas Gonzalez, MD",Otolaryngology,7451 Wilshire Blvd,,San jose,CA,95001,3234563858,5465 Hollywood Blvd,Suite 949,San francisco,CA,95001,A82641,CA,2024-02-29,Yes,True,9,Harvard Medical School,UCLA Medical Center,2025-05-04,279034501X,7451,Wilshire,Blvd,5465,Hollywood,Blvd,1,A82641,"Thomas Gonzalez, MD",Thomas,Gonzalez,,MD,Physician and Surgeon,Otolaryngology,,Expired,2020-05-23,2024-02-29,2023-12-01,7451 Wilshire Blvd,San jose,CA,95001,Sacramento,3234563858,thomas.gonzalez@email.com,Harvard Medical School,2008,UCLA Medical Center,Otolaryngology,"English, Spanish",False,,No,Cedars-Sinai Medical Center,2025-05-08,7451,Wilshire,Blvd
PR_00040,9847896119,Fatima,Lewis,MD,"Fatima Lewis, MD",Oncology,5278 Pico Blvd,Suite 739,San francisco,CA,90002,6268664522,5278 Pico Blvd,Suite 739,San francisco,CA,90002,A81874,CA,2024-10-27,No,False,15,UCLA David Geffen School of Medicine,UCLA Medical Center,2025-01-13,253516659X,5278,Pico,Blvd,5278,Pico,Blvd,1,A81874,"Fatima Lewis, MD",Fatima,Lewis,,MD,Physician and Surgeon,Oncology,,Expired,2020-02-18,2024-10-27,2024-05-31,5278 Pico Blvd,San francisco,CA,90002,Los angeles,6268664522,,UCLA David Geffen School of Medicine,2003,UCLA Medical Center,,"English, Mandarin",False,,Yes,,2025-06-27,5278,Pico,Blvd
PR_00042,4455022961,James,Moore,DO,"James Moore, DO",Orthopedic Surgery,9191 Pico Blvd,,Los angeles,CA,95001,7183451502,9191 Pico Blvd,,Los angeles,CA,95001,A45054,CA,2023-03-01,Yes,True,25,UCLA David Geffen School of Medicine,Mount Sinai Hospital,2025-03-12,221127115X,9191,Pico,Blvd,9191,Pico,Blvd,1,A45054,"James Moore, DO",James,Moore,C,DO,Physician and Surgeon,Orthopedic Surgery,,Expired,2019-10-04,2023-03-01,2022-12-14,9191 Pico Blvd,Los angeles,CA,95001,San diego,7183451502,james.moore@email.com,UCLA David Geffen School of Medicine,1995,Mount Sinai Hospital,Orthopedic Surgery,"English, Mandarin",True,,Yes,UCSF Medical Center,2025-04-07,9191,Pico,Blvd
PR_00043,7679764386,Patricia,Martin,MD PhD,"Patricia Martin, MD PhD",Emergency Medicine,9300 Pico Blvd,Suite 872,San diego,CA,90001,7185538043,9300 Pico Blvd,Suite 872,San diego,CA,90001,A98338,CA,2023-06-17,Yes,False,38,UCSF School of Medicine,NewYork-Presbyterian Hospital,2025-08-10,229597483X,9300,Pico,Blvd,9300,Pico,Blvd,1,A98338,"Patricia Martin, MD PhD",Patricia,Martin,,MD PhD,Physician and Surgeon,Emergency Medicine,,Expired,2018-12-05,2023-06-17,2023-04-14,9300 Pico Blvd,San diego,CA,90001,Los angeles,7185538043,patricia.martin@email.com,UCSF School of Medicine,1979,NewYork-Presbyterian Hospital,,"English, Spanish",False,,Unknown,,2025-04-27,9300,Pico,Blvd
PR_00045,5352181886,William,Yang,DO PhD,"William Yang, DO PhD",Anesthesiology,5929 Wilshire Blvd,Suite 703,Oakland,CA,90002,9179946724,5929 Wilshire Blvd,Suite 703,Oakland,CA,90002,A20308,CA,2025-03-21,No,True,16,Stanford University School of Medicine,Mayo Clinic,2025-04-24,226477373X,5929,Wilshire,Blvd,5929,Wilshire,Blvd,1,A20308,"Yang, William DO PhD",William,Yang,B,DO PhD,Physician and Surgeon,Anesthesiology,,Expired,2021-10-11,2025-03-21,2025-01-03,5929 Wilshire Blvd,Oakland,CA,90002,Contra costa,9179946724,william.yang@email.com,Stanford University School of Medicine,2001,Mayo Clinic,Anesthesiology,English,False,,Yes,Cedars-Sinai Medical Center,2025-06-18,5929,Wilshire,Blvd
PR_00046,2717744909,William,Liu,DO,"William Liu, DO",Anesthesiology,1235 Sunset Blvd,,Santa ana,CA,93001,9297192215,1235 Sunset Blvd,,Santa ana,CA,93001,A68838,CA,2024-10-23,No,False,29,Harvard Medical School,Massachusetts General Hospital,2025-02-26,238530827X,1235,Sunset,Blvd,1235,Sunset,Blvd,1,A68838,"Liu, William DO",William,Liu,,DO,Physician and Surgeon,Anesthesiology,,Expired,2020-07-10,2024-10-23,2024-06-18,1235 Sunset Blvd,Santa ana,CA,93001,Santa clara,9297192215,,Harvard Medical School,1988,Massachusetts General Hospital,,"English, Spanish",True,,Yes,UCLA Medical Center,2025-07-10,1235,Sunset,Blvd
PR_00050,7746886233,Linda,White,DO,"Linda White, DO",Otolaryngology,4669 Santa Monica Blvd,Suite 928,San jose,CA,94001,4243415096,4669 Santa Monica Blvd,Suite 928,San jose,CA,94001,A35430,CA,2025-01-23,Yes,False,24,Yale School of Medicine,Johns Hopkins Hospital,2024-09-03,269244185X,4669,Santa Monica,Blvd,4669,Santa Monica,Blvd,1,A35430,"Linda White, DO",Linda,White,,DO,Physician and Surgeon,Otolaryngology,,Expired,2021-10-12,2025-01-23,2024-09-18,4669 Santa Monica Blvd,San jose,CA,940**,Los angeles,4243415096,,Yale School of Medicine,1995,Johns Hopkins Hospital,,English,False,,Unknown,Cedars-Sinai Medical Center,2025-07-22,4669,Santa Monica,Blvd
PR_00054,305486872,Jessica,Perez,DO,"Jessica Perez, DO",Neurology,7613 Santa Monica Blvd,Suite 894,San francisco,CA,90003,3472374131,7613 Santa Monica Blvd,Suite 894,San francisco,CA,90003,A14847,CA,2024-08-23,No,False,4,NYU Grossman School of Medicine,NewYork-Presbyterian Hospital,2025-07-01,249394697X,7613,Santa Monica,Blvd,7613,Santa Monica,Blvd,1,A14847,"Jessica Perez, DO",Jessica,Perez,,DO,Physician and Surgeon,Neurology,,Expired,2022-01-31,2024-08-23,2024-04-11,7613 Santa Monica Blvd,San francisco,CA,90003,San diego,3472374131,,NYU Grossman School of Medicine,2014,NewYork-Presbyterian Hospital,,"English, Mandarin",True,,Unknown,UCSF Medical Center,2025-06-24,7613,Santa Monica,Blvd
PR_00055,6169284512,Linda,Sanchez,DO PhD,"Linda Sanchez, DO PhD",Pediatrics,6335 Beverly Dr,,San francisco,CA,93001,7185355843,6335 Beverly Dr,,San francisco,CA,93001,A78062,CA,2024-06-30,No,False,39,UCLA David Geffen School of Medicine,Mayo Clinic,2024-09-14,259580374X,6335,Beverly,Dr,6335,Beverly,Dr,1,A78062,"LINDA SANCHEZ, DO PHD",Linda,Sanchez,,DO PhD,Physician and Surgeon,Pediatrics,,Expired,2021-03-30,2024-06-30,2023-10-27,6335 Beverly Dr,San francisco,CA,93001,San diego,7185355843,,UCLA David Geffen School of Medicine,1981,Mayo Clinic,,"English, Mandarin",True,,Unknown,Cedars-Sinai Medical Center,2025-05-23,6335,Beverly,Dr
PR_00056,5820297026,Patricia,Lewis,MD,"Patricia Lewis, MD",Oncology,5777 Pico Blvd,,Oakland,CA,90005,7184417001,5777 Pico Blvd,,Oakland,CA,90005,A17518,CA,2023-06-03,No,False,37,Harvard Medical School,Mayo Clinic,2024-09-20,260387584X,5777,Pico,Blvd,5777,Pico,Blvd,1,A17518,"Patricia Lewis, MD",Patricia,Lewis,B,MD,Physician and Surgeon,Oncology,Emergency Medicine,Expired,2019-05-02,2023-06-03,2022-11-04,5777 Pico Blvd,Oakland,CA,90005,Contra costa,7184417001,,Harvard Medical School,1984,Mayo Clinic,,"English, Spanish",False,,No,,2025-05-29,5777,Pico,Blvd
PR_00057,7868144732,Patricia,White,DO PhD,"Patricia White, DO PhD",Orthopedic Surgery,9404 Sunset Blvd,,Sacramento,CA,92001,4244929047,9404 Sunset Blvd,,Sacramento,CA,92001,A24869,CA,2023-02-23,Yes,True,9,Stanford University School of Medicine,Mount Sinai Hospital,2025-06-06,295746886X,9404,Sunset,Blvd,9404,Sunset,Blvd,1,A24869,"Patricia White, DO PhD",Patricia,White,,DO PhD,Physician and Surgeon,Orthopedic Surgery,,Expired,2019-02-01,2023-02-23,2022-04-13,9404 Sunset Blvd,Sacramento,CA,92001,Riverside,4244929047,,Stanford University School of Medicine,2008,Mount Sinai Hospital,Orthopedic Surgery,"English, Spanish, Portuguese",False,,Unknown,Stanford Hospital,2025-04-10,9404,Sunset,Blvd
PR_00058,8313237059,Elizabeth,Garcia,MD PhD,"Elizabeth Garcia, MD PhD",Pathology,1064 Ventura Blvd,,Fresno,CA,90005,3237867044,1064 Ventura Blvd,,Fresno,CA,90005,A93584,CA,2023-12-23,No,True,40,Stanford University School of Medicine,Johns Hopkins Hospital,2025-03-28,253440127X,1064,Ventura,Blvd,1064,Ventura,Blvd,1,A93584,"Elizabeth Garcia, MD PhD",Elizabeth,Garcia,,MD PhD,Physician and Surgeon,Pathology,,Expired,2022-06-22,2023-12-23,2023-07-16,1064 Ventura Blvd,Fresno,CA,90005,Los angeles,3237867044,elizabeth.garcia@email.com,Stanford University School of Medicine,1977,Johns Hopkins Hospital,Pathology,"English, Spanish",True,,Unknown,Stanford Hospital,2025-06-02,1064,Ventura,Blvd
PR_00059,2892268014,Ahmed,Patel,DO PhD,"Ahmed Patel, DO PhD",Pathology,9420 Wilshire Blvd,,San francisco,CA,91001,3233565982,9420 Wilshire Blvd,,San francisco,CA,91001,A99143,CA,2025-11-25,Yes,True,21,University of Pennsylvania Perelman School of Medicine,UCLA Medical Center,2024-12-11,238124318X,9420,Wilshire,Blvd,9420,Wilshire,Blvd,1,A99143,"AHMED PATEL, DO PHD",Ahmed,Patel,,DO PhD,Physician and Surgeon,Pathology,Pediatrics,Active,2021-01-03,2025-11-25,2025-04-23,9420 Wilshire Blvd,San francisco,CA,91001,Los angeles,3233565982,ahmed.patel@email.com,University of Pennsylvania Perelman School of Medicine,1996,UCLA Medical Center,Pathology,"English, Spanish, Portuguese",True,,Yes,Stanford Hospital,2025-03-21,9420,Wilshire,Blvd
PR_00061,5625881539,Charles,Robinson,MD,"Charles Robinson, MD",Pediatrics,2590 Santa Monica Blvd,,Oakland,CA,93001,3103255382,2590 Santa Monica Blvd,,Oakland,CA,93001,A28830,CA,2024-10-02,No,True,10,Stanford University School of Medicine,Massachusetts General Hospital,2025-04-07,251559717X,2590,Santa Monica,Blvd,2590,Santa Monica,Blvd,1,A28830,Dr. Charles Robinson,Charles,Robinson,,MD,Physician and Surgeon,Pediatrics,Nephrology,Expired,2021-12-01,2024-10-02,2024-09-29,2590 Santa Monica Blvd,Oakland,CA,93001,Los angeles,3103255382,charles.robinson@email.com,Stanford University School of Medicine,2007,Massachusetts General Hospital,Pediatrics,"English, Mandarin",True,,Unknown,UCSF Medical Center,2025-07-19,2590,Santa Monica,Blvd
