provider_id,npi,first_name,last_name,credential,full_name,primary_specialty,practice_address_line1,practice_address_line2,practice_city,practice_state,practice_zip,practice_phone,mailing_address_line1,mailing_address_line2,mailing_city,mailing_state,mailing_zip,license_number,license_state,license_expiration,accepting_new_patients,board_certified,years_in_practice,medical_school,residency_program,last_updated,taxonomy_code,house_no_p,area_p,area_type_p,house_no_m,area_m,area_type_m,valid_npi,license_number_gt,provider_name_gt,first_name_gt,last_name_gt,license_type_gt,profession_code_gt,specialty_gt,status_gt,issue_date_gt,expiration_date_gt,last_renewal_date_gt,address_line1_gt,address_city_gt,address_state_gt,address_zip_gt,phone_gt,disciplinary_actions_gt,board_certified_gt,medical_school_gt,verification_date_gt,house_no_gt,area_gt,area_type_gt
PR_00025,2941318698,Mary,Lopez,MD,"Mary Lopez, MD",Dermatology,7828 Fifth Ave,,Brooklyn,NY,11202,4248334697,7828 Fifth Ave,,Brooklyn,NY,11202,060NY819796,NY,2023-04-20,Unknown,False,29,UCSF School of Medicine,NewYork-Presbyterian Hospital,2024-11-05,257556566X,7828,Fifth,Ave,7828,Fifth,Ave,1,060NY819796,"Mary Lopez, MD",Mary,Lopez,Physician,60,Dermatology,Expired,2019-11-05,2023-04-20,2021-05-04,7828 Fifth Ave,Brooklyn,NY,11202,4248334697,[],False,UCSF School of Medicine,2025-09-02,7828,Fifth,Ave
PR_00027,9065940132,William,Martin,MD PhD,"William Martin, MD PhD",Pediatrics,7680 Central Park West,,Buffalo,NY,11202,6267891339,7680 Central Park West,,Buffalo,NY,11202,060NY617781,NY,2025-06-15,Unknown,False,37,Harvard Medical School,Mayo Clinic,2025-01-05,269654147X,7680,Central Park,West,7680,Central Park,West,1,060NY617781,"William Martin, MD PhD",William,Martin,Physician,60,Pediatrics,Expired,2020-09-03,2025-06-15,2023-07-11,7680 Central Park West,Buffalo,NY,11202,6267891339,[],False,Harvard Medical School,2025-09-02,7680,Central Park,West
PR_00028,5674680718,Rajesh,Lewis,MD PhD,"Rajesh Lewis, MD PhD",Orthopedic Surgery,9591 Second Ave,,Syracuse,NY,10002,9294586296,9591 Second Ave,,Syracuse,NY,10002,060NY436653,NY,2023-08-03,Yes,False,33,Harvard Medical School,Mount Sinai Hospital,2025-02-03,207275149X,9591,Second,Ave,9591,Second,Ave,1,060NY436653,"Rajesh Lewis, MD PhD",Rajesh,Lewis,Physician,60,Orthopedic Surgery,Expired,2019-05-21,2023-08-03,2021-09-22,9591 Second Ave,Syracuse,NY,10002,9294586296,[],False,Harvard Medical School,2025-09-02,9591,Second,Ave
PR_00031,2702895178,Li,Gonzalez,DO,"Li Gonzalez, DO",Radiology,3827 Second Ave,,New york,NY,11201,7187388486,3827 Second Ave,,New york,NY,11201,060NY950823,NY,2025-02-19,Yes,True,27,Johns Hopkins School of Medicine,Johns Hopkins Hospital,2025-01-05,235570755X,3827,Second,Ave,3827,Second,Ave,1,060NY950823,"LI GONZALEZ, DO",Li,Gonzalez,Physician,60,Radiology,Expired,2018-08-06,2025-02-19,2023-09-17,3827 Second Ave,New york,NY,11201,7187388486,[],True,Johns Hopkins School of Medicine,2025-09-02,3827,Second,Ave
PR_00033,9237474079,Linda,Martinez,DO,"Linda Martinez, DO",Nephrology,9273 Columbus Ave,Suite 724,Queens,NY,10003,3478939955,9273 Columbus Ave,Suite 724,Queens,NY,10003,060NY749813,NY,2024-05-08,Yes,True,29,NYU Grossman School of Medicine,NewYork-Presbyterian Hospital,2024-10-10,256949781X,9273,Columbus,Ave,9273,Columbus,Ave,1,060NY749813,"Linda Martinez, DO",Linda,Martinez,Physician,60,Nephrology,Expired,2018-09-09,2024-05-08,2023-03-25,9273 Columbus Ave,Queens,NY,10003,3478939955,[],True,NYU Grossman School of Medicine,2025-09-02,9273,Columbus,Ave
PR_00036,6513709858,Priya,Sanchez,MD PhD,"Priya Sanchez, MD PhD",Otolaryngology,6465 Broadway,Suite 477,Buffalo,NY,14201,4244262035,6465 Broadway,Suite 477,Buffalo,NY,14201,060NY805000,NY,2024-06-20,Unknown,False,20,UCLA David Geffen School of Medicine,Johns Hopkins Hospital,2025-06-23,206086345X,6465,Broadway,,6465,Broadway,,1,060NY805000,"Priya Sanchez, MD PhD",Priya,Sanchez,Physician,60,Otolaryngology,Expired,2021-02-25,2024-06-20,2023-08-09,6465 Broadway,Buffalo,NY,142**,4244262035,[],False,UCLA David Geffen School of Medicine,2025-09-02,6465,Broadway,
PR_00037,2617964058,Michael,Martin,DO PhD,"Michael Martin, DO PhD",Otolaryngology,3847 York Ave,,Queens,NY,11202,9176548285,3847 York Ave,,Queens,NY,11202,060NY879238,NY,2025-05-08,Yes,False,7,NYU Grossman School of Medicine,UCLA Medical Center,2025-08-02,253437398X,3847,York,Ave,3847,York,Ave,1,060NY879238,"Michael Martin, DO PhD",Michael,Martin,Physician,60,Otolaryngology,Expired,2022-03-04,2025-05-08,2024-12-07,3847 York Ave,Queens,NY,11202,9176548285,[],False,NYU Grossman School of Medicine,2025-09-02,3847,York,Ave
PR_00039,9178390842,Mary,Johnson,DO,"Mary Johnson, DO",Endocrinology,2077 Central Park West,Suite 165,Yonkers,NY,14201,3108581510,2077 Central Park West,Suite 165,Yonkers,NY,14201,060NY915809,NY,2025-01-11,Yes,False,26,UCLA David Geffen School of Medicine,Johns Hopkins Hospital,2024-12-25,295616885X,2077,Central Park,West,2077,Central Park,West,1,060NY915809,"Mary Johnson, DO",Mary,Johnson,Physician,60,Endocrinology,Expired,2022-10-29,2025-01-11,2023-05-21,2077 Central Park West,Yonkers,NY,14201,3108581510,[],False,UCLA David Geffen School of Medicine,2025-09-02,2077,Central Park,West
PR_00041,6560494518,Linda,Miller,MD PhD,"Linda Miller, MD PhD",Cardiology,4177 Third Ave,Suite 951,Queens,NY,11203,4247194485,7076 Fifth Ave,,Rochester,NY,11203,060NY714953,NY,2024-11-06,Yes,False,15,Stanford University School of Medicine,UCLA Medical Center,2024-11-22,249333209X,4177,Third,Ave,7076,Fifth,Ave,1,060NY714953,"Linda Miller, MD PhD",Linda,Miller,Physician,60,Cardiology,Expired,2022-01-09,2024-11-06,2023-08-05,4177 Third Ave,Queens,NY,11203,4247194485,[],False,Stanford University School of Medicine,2025-09-02,4177,Third,Ave
PR_00044,5160607157,Jennifer,Liu,MD,"Jennifer Liu, MD",Ophthalmology,4939 Park Ave,Suite 222,Queens,NY,10005,4246397626,7056 Madison Ave,,Queens,NY,10005,060NY341288,NY,2025-10-21,Unknown,False,19,Stanford University School of Medicine,UCSF Medical Center,2025-08-23,243589647X,4939,Park,Ave,7056,Madison,Ave,1,060NY341288,"Jennifer Liu, MD",Jennifer,Liu,Physician,60,Ophthalmology,Revoked,2022-03-23,2025-10-21,2023-11-17,4939 Park Ave,Queens,NY,10005,4246397626,[],False,Stanford University School of Medicine,2025-09-02,4939,Park,Ave
PR_00047,7820715180,David,Garcia,DO PhD,"David Garcia, DO PhD",Urology,9082 Central Park West,,New york,NY,11203,6263761641,9082 Central Park West,,New york,NY,11203,060NY297383,NY,2024-10-20,Yes,False,29,Yale School of Medicine,Mayo Clinic,2025-02-28,250043345X,9082,Central Park,West,9082,Central Park,West,1,060NY297383,"David Garcia, DO PhD",David,Garcia,Physician,60,Urology,Expired,2021-06-19,2024-10-20,2023-08-02,9082 Central Park West,New york,NY,11203,6263761641,[],False,Yale School of Medicine,2025-09-02,9082,Central Park,West
PR_00048,9251925468,Fatima,Jackson,DO PhD,"Fatima Jackson, DO PhD",Emergency Medicine,5544 Columbus Ave,Suite 196,New york,NY,11201,6468092388,5544 Columbus Ave,Suite 196,New york,NY,11201,060NY505341,NY,2024-08-04,No,False,22,Johns Hopkins School of Medicine,Johns Hopkins Hospital,2024-10-07,289987086X,5544,Columbus,Ave,5544,Columbus,Ave,1,060NY505341,"Fatima Jackson, DO PhD",Fatima,Jackson,Physician,60,Emergency Medicine,Expired,2018-12-25,2024-08-04,2022-09-17,5544 Columbus Ave,New york,NY,11201,6468092388,[],False,Johns Hopkins School of Medicine,2025-09-02,5544,Columbus,Ave
PR_00049,1418880598,Linda,Kumar,MD PhD,"Linda Kumar, MD PhD",Dermatology,5061 Madison Ave,,Bronx,NY,11201,6468117172,5061 Madison Ave,,Bronx,NY,11201,060NY337547,NY,2023-10-09,Yes,True,12,University of Michigan Medical School,Mayo Clinic,2025-01-21,205864298X,5061,Madison,Ave,5061,Madison,Ave,1,060NY337547,"Linda Kumar, MD PhD",Linda,Kumar,Physician,60,Dermatology,Expired,2018-06-24,2023-10-09,2021-10-13,5061 Madison Ave,Bronx,NY,11201,6468117172,[],True,University of Michigan Medical School,2025-09-02,5061,Madison,Ave
PR_00051,3615305157,Li,Davis,MD PhD,"Li Davis, MD PhD",Pathology,2627 Lexington Ave,Suite 547,Syracuse,NY,14201,6463401627,3638 First Ave,,Rochester,NY,14201,060NY515712,NY,2025-10-25,No,False,9,UCSF School of Medicine,Mount Sinai Hospital,2024-10-22,200704803X,2627,Lexington,Ave,3638,First,Ave,1,060NY515712,"Li Davis, MD PhD",Li,Davis,Physician,60,Pathology,Inactive,2021-03-01,2025-10-25,2024-10-18,2627 Lexington Ave,Syracuse,NY,14201,6463401627,[],False,UCSF School of Medicine,2025-09-02,2627,Lexington,Ave
PR_00052,6971179804,Mohammed,Garcia,MD,"Mohammed Garcia, MD",Psychiatry,2450 York Ave,Suite 395,Albany,NY,11202,6267274963,2450 York Ave,Suite 395,Albany,NY,11202,060NY227767,NY,2023-04-08,Unknown,True,19,UCLA David Geffen School of Medicine,Massachusetts General Hospital,2024-10-23,247354167X,2450,York,Ave,2450,York,Ave,1,060NY227767,"Mohammed Garcia, MD",Mohammed,Garcia,Physician,60,Psychiatry,Expired,2019-05-03,2023-04-08,2023-03-07,2450 York Ave,Albany,NY,11202,6267274963,[],True,UCLA David Geffen School of Medicine,2025-09-02,2450,York,Ave
PR_00053,670654054,Joseph,Wang,DO PhD,"Joseph Wang, DO PhD",Ophthalmology,1403 York Ave,,Rochester,NY,10002,7185534950,1403 York Ave,,Rochester,NY,10002,060NY924613,NY,2025-11-05,Unknown,True,38,NYU Grossman School of Medicine,Mayo Clinic,2025-08-11,247284777X,1403,York,Ave,1403,York,Ave,1,060NY924613,"Joseph Wang, DO PhD",Joseph,Wang,Physician,60,Ophthalmology,Active,2019-05-06,2025-11-05,2025-04-28,1403 York Ave,Rochester,NY,10002,7185534950,[],True,NYU Grossman School of Medicine,2025-09-02,1403,York,Ave
PR_00060,10943964,Li,Garcia,MD PhD,"Li Garcia, MD PhD",Otolaryngology,9025 Lexington Ave,,Queens,NY,10005,4248541496,2763 Amsterdam Ave,,Queens,NY,10005,060NY855638,NY,2024-11-22,No,False,20,UCSF School of Medicine,Cleveland Clinic,2024-09-17,254504816X,9025,Lexington,Ave,2763,Amsterdam,Ave,1,060NY855638,"Li Garcia, MD PhD",Li,Garcia,Physician,60,Otolaryngology,Expired,2020-04-18,2024-11-22,2023-10-12,9025 Lexington Ave,Queens,NY,10005,4248541496,[],False,UCSF School of Medicine,2025-09-02,9025,Lexington,Ave
PR_00062,4701687330,Li,Yang,DO PhD,"Li Yang, DO PhD",Nephrology,2617 Third Ave,,Rochester,NY,10004,4245611797,2617 Third Ave,,Rochester,NY,10004,060NY639728,NY,2025-08-14,Yes,False,32,University of Michigan Medical School,Mount Sinai Hospital,2025-04-09,272033413X,2617,Third,Ave,2617,Third,Ave,1,060NY639728,"Li Yang, DO PhD",Li,Yang,Physician,60,Nephrology,Expired,2018-10-14,2025-08-14,2025-03-31,2617 Third Ave,Rochester,NY,10004,4245611797,[],False,University of Michigan Medical School,2025-09-02,2617,Third,Ave
PR_00063,8416878492,John,Miller,DO PhD,"John Miller, DO PhD",Pathology,4334 Central Park West,,Rochester,NY,11202,6268252946,4334 Central Park West,,Rochester,NY,11202,060NY697983,NY,2024-02-03,Yes,True,26,NYU Grossman School of Medicine,UCLA Medical Center,2024-11-21,249070856X,4334,Central Park,West,4334,Central Park,West,1,060NY697983,"John Miller, DO PhD",John,Miller,Physician,60,Pathology,Expired,2017-11-30,2024-02-03,2022-11-28,4334 Central Park West,Rochester,NY,11202,6268252946,[],True,NYU Grossman School of Medicine,2025-09-02,4334,Central Park,West
PR_00065,9728962307,Charles,Patel,MD,"Charles Patel, MD",Internal Medicine,1796 Second Ave,,Buffalo,NY,10001,4249172800,1796 Second Ave,,Buffalo,NY,10001,060NY787436,NY,2024-04-11,Yes,True,29,NYU Grossman School of Medicine,UCSF Medical Center,2025-06-17,255426567X,1796,Second,Ave,1796,Second,Ave,1,060NY787436,"Charles Patel, MD",Charles,Patel,Physician,60,Internal Medicine,Expired,2018-01-24,2024-04-11,2022-04-26,1796 Second Ave,Buffalo,NY,10001,4249172800,[],True,NYU Grossman School of Medicine,2025-09-02,1796,Second,Ave
PR_00066,6527858544,Ahmed,Wilson,DO PhD,"Ahmed Wilson, DO PhD",Endocrinology,7727 Central Park West,,New york,NY,10003,4246954150,7727 Central Park West,,New york,NY,10003,060NY794395,NY,2025-09-06,Yes,False,36,Columbia University Vagelos College of Physicians and Surgeons,Cleveland Clinic,2025-04-03,238789478X,7727,Central Park,West,7727,Central Park,West,1,060NY794395,"Ahmed Wilson, DO PhD",Ahmed,Wilson,Physician,60,Endocrinology,Active,2022-04-12,2025-09-06,2024-04-26,7727 Central Park West,New york,NY,10003,4246954150,[],False,Columbia University Vagelos College of Physicians and Surgeons,2025-09-02,7727,Central Park,West
PR_00067,4041574738,Ahmed,Wilson,DO PhD,"Ahmed Wilson, DO PhD",Dermatology,5715 York Ave,Suite 792,Buffalo,NY,10005,9177515442,5715 York Ave,Suite 792,Buffalo,NY,10005,060NY513697,NY,2024-12-07,Unknown,False,9,Stanford University School of Medicine,Cleveland Clinic,2025-05-01,206813620X,5715,York,Ave,5715,York,Ave,1,060NY513697,"Ahmed Wilson, DO PhD",Ahmed,Wilson,Physician,60,Dermatology,Expired,2021-01-22,2024-12-07,2024-07-17,5715 York Ave,Buffalo,NY,10005,9177515442,[],False,Stanford University School of Medicine,2025-09-02,5715,York,Ave
PR_00072,640391064,Christopher,Zhang,DO PhD,"Christopher Zhang, DO PhD",Anesthesiology,8362 First Ave,Suite 525,New york,NY,11203,9299172044,8362 First Ave,Suite 525,New york,NY,11203,060NY160541,NY,2025-08-04,Unknown,True,5,UCSF School of Medicine,Massachusetts General Hospital,2025-04-09,254877191X,8362,First,Ave,8362,First,Ave,1,060NY160541,"Christopher Zhang, DO PhD",Christopher,Zhang,Physician,60,Anesthesiology,Expired,2020-03-17,2025-08-04,2024-10-24,8362 First Ave,New york,NY,11203,9299172044,[],True,UCSF School of Medicine,2025-09-02,8362,First,Ave
PR_00073,2868230046,William,Rodriguez,DO PhD,"William Rodriguez, DO PhD",Cardiology,6267 First Ave,Suite 777,Yonkers,NY,11202,3108899920,6267 First Ave,Suite 777,Yonkers,NY,11202,060NY239449,NY,2024-12-13,No,False,15,University of Pennsylvania Perelman School of Medicine,Mount Sinai Hospital,2025-03-09,220820038X,6267,First,Ave,6267,First,Ave,1,060NY239449,"William Rodriguez, DO PhD",William,Rodriguez,Physician,60,Cardiology,Expired,2018-11-29,2024-12-13,2024-11-04,6267 First Ave,Yonkers,NY,11202,3108899920,[],False,University of Pennsylvania Perelman School of Medicine,2025-09-02,6267,First,Ave
PR_00074,673830288,Thomas,Gonzalez,MD,"Thomas Gonzalez, MD",Psychiatry,6869 Amsterdam Ave,Suite 203,New york,NY,10004,3474396224,6869 Amsterdam Ave,Suite 203,New york,NY,10004,060NY568127,NY,2023-04-10,Unknown,False,16,Columbia University Vagelos College of Physicians and Surgeons,Mayo Clinic,2024-09-29,269961132X,6869,Amsterdam,Ave,6869,Amsterdam,Ave,1,060NY568127,"Thomas Gonzalez, MD",Thomas,Gonzalez,Physician,60,Psychiatry,Expired,2017-09-25,2023-04-10,2022-04-24,6869 Amsterdam Ave,New york,NY,10004,3474396224,[],False,Columbia University Vagelos College of Physicians and Surgeons,2025-09-02,6869,Amsterdam,Ave
PR_00075,4628733428,Joseph,Clark,MD PhD,"Joseph Clark, MD PhD",Dermatology,9122 Amsterdam Ave,,Queens,NY,11202,3102597761,5643 Columbus Ave,,Yonkers,NY,11202,060NY536548,NY,2025-04-16,No,True,25,University of Pennsylvania Perelman School of Medicine,NewYork-Presbyterian Hospital,2025-05-21,244327148X,9122,Amsterdam,Ave,5643,Columbus,Ave,1,060NY536548,"Joseph Clark, MD PhD",Joseph,Clark,Physician,60,Dermatology,Expired,2021-03-15,2025-04-16,2024-12-30,9122 Amsterdam Ave,Queens,NY,11202,3102597761,[],True,University of Pennsylvania Perelman School of Medicine,2025-09-02,9122,Amsterdam,Ave
PR_00077,5355609320,Jessica,Lee,MD PhD,"Jessica Lee, MD PhD",Nephrology,8744 Columbus Ave,Suite 625,Rochester,NY,10005,2124677841,8744 Columbus Ave,Suite 625,Rochester,NY,10005,060NY588640,NY,2023-07-21,No,True,13,NYU Grossman School of Medicine,Cleveland Clinic,2025-02-20,276475853X,8744,Columbus,Ave,8744,Columbus,Ave,1,060NY588640,"Jessica Lee, MD PhD",Jessica,Lee,Physician,60,Nephrology,Expired,2016-12-06,2023-07-21,2022-12-27,8744 Columbus Ave,Rochester,NY,10005,2124677841,[],True,NYU Grossman School of Medicine,2025-09-02,8744,Columbus,Ave
PR_00078,8728080109,Wei,Thomas,DO PhD,"Wei Thomas, DO PhD",Dermatology,5531 Lexington Ave,,Syracuse,NY,11203,2126223252,5531 Lexington Ave,,Syracuse,NY,11203,060NY469283,NY,2023-12-13,Unknown,True,5,Johns Hopkins School of Medicine,Massachusetts General Hospital,2025-05-14,267878323X,5531,Lexington,Ave,5531,Lexington,Ave,1,060NY469283,"Wei Thomas, DO PhD",Wei,Thomas,Physician,60,Dermatology,Expired,2020-02-02,2023-12-13,2022-07-14,5531 Lexington Ave,Syracuse,NY,11203,2126223252,[],True,Johns Hopkins School of Medicine,2025-09-02,5531,Lexington,Ave
PR_00082,4262655117,Jessica,Harris,DO PhD,"Jessica Harris, DO PhD",Pediatrics,9599 Columbus Ave,,Yonkers,NY,10002,2125158286,9599 Columbus Ave,,Yonkers,NY,10002,060NY358421,NY,2023-05-31,No,False,7,Johns Hopkins School of Medicine,Johns Hopkins Hospital,2025-05-30,257845091X,9599,Columbus,Ave,9599,Columbus,Ave,1,060NY358421,"Jessica Harris, DO PhD",Jessica,Harris,Physician,60,Pediatrics,Expired,2019-03-23,2023-05-31,2021-10-04,9599 Columbus Ave,Yonkers,NY,10002,2125158286,[],False,Johns Hopkins School of Medicine,2025-09-02,9599,Columbus,Ave
PR_00083,6618398263,Elizabeth,Chen,DO PhD,"Elizabeth Chen, DO PhD",Anesthesiology,1469 Third Ave,,Albany,NY,10002,6463425405,1469 Third Ave,,Albany,NY,10002,060NY503951,NY,2023-01-26,No,False,32,Johns Hopkins School of Medicine,Johns Hopkins Hospital,2025-06-09,258341261X,1469,Third,Ave,1469,Third,Ave,1,060NY503951,"Elizabeth Chen, DO PhD",Elizabeth,Chen,Physician,60,Anesthesiology,Expired,2017-08-22,2023-01-26,2022-12-17,1469 Third Ave,Albany,NY,10002,6463425405,[],False,Johns Hopkins School of Medicine,2025-09-02,1469,Third,Ave
PR_00084,1240659657,Thomas,Clark,MD PhD,"Thomas Clark, MD PhD",Pulmonology,1261 Third Ave,,Buffalo,NY,10004,3105428055,1261 Third Ave,,Buffalo,NY,10004,060NY746624,NY,2024-02-05,Unknown,True,20,NYU Grossman School of Medicine,Cleveland Clinic,2024-12-31,242168966X,1261,Third,Ave,1261,Third,Ave,1,060NY746624,"Thomas Clark, MD PhD",Thomas,Clark,Physician,60,Pulmonology,Expired,2018-01-25,2024-02-05,2023-04-14,1261 Third Ave,Buffalo,NY,10004,3105428055,[],True,NYU Grossman School of Medicine,2025-09-02,1261,Third,Ave
PR_00085,9398280732,William,Sanchez,MD PhD,"William Sanchez, MD PhD",Cardiology,8045 Amsterdam Ave,,Bronx,NY,11201,3104982133,8045 Amsterdam Ave,,Bronx,NY,11201,060NY512022,NY,2025-01-17,No,False,9,Columbia University Vagelos College of Physicians and Surgeons,Cleveland Clinic,2025-04-26,288404247X,8045,Amsterdam,Ave,8045,Amsterdam,Ave,1,060NY512022,"William Sanchez, MD PhD",William,Sanchez,Physician,60,Cardiology,Expired,2018-10-24,2025-01-17,2024-04-01,8045 Amsterdam Ave,Bronx,NY,11201,3104982133,[],False,Columbia University Vagelos College of Physicians and Surgeons,2025-09-02,8045,Amsterdam,Ave
